,LBAHH,GBAHA,WHD,LBAH,GBAH,IWH,IWA,WHA,SBD,B365<2.5,SOA,B365A,GBD,GBA,B365H,SBA,LBAHA,B365D,LBH,GBAHH,GB<2.5,LBD,GBH,LBA,SOD,WHH,B365>2.5,B365AH,B365AHH,IWD,SOH,GB>2.5,B365AHA,SBH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
0,1.9,1.9,4.5,-1.25,-1.25,1.35,7.0,8.0,3.75,2.1,7.5,8.0,4.0,7.0,1.4,7.5,1.95,3.8,1.3330000000000002,1.9,1.95,4.0,1.44,8.0,3.75,1.28,1.7,-1.25,1.975,4.0,1.4,1.75,1.925,1.4,Arsenal_Everton_2003,1,1,2003-08-16,2003,31,8
1,1.75,1.75,3.2,0.0,-0.25,2.5,2.5,2.8,3.2,1.85,2.75,2.75,3.25,2.8,2.375,2.8,2.1,3.25,2.2,2.05,1.85,3.2,2.35,2.8,3.25,2.2,1.95,-0.25,2.1,3.0,2.25,1.85,1.8,2.25,Birmingham_Tottenham_2003,1,1,2003-08-16,2003,19,6
2,2.0,1.85,3.5,-0.75,-0.75,1.7,4.2,5.0,3.4,1.9,5.5,5.5,3.4,5.0,1.615,5.5,1.85,3.4,1.615,1.95,1.85,3.5,1.68,4.5,3.4,1.57,1.9,-0.75,1.95,3.2,1.57,1.85,1.95,1.57,Blackburn_Wolves_2003,1,1,2003-08-16,2003,33,4
3,1.85,2.0,3.2,0.0,0.0,2.1,3.0,2.62,3.2,1.7,2.8,2.8,3.25,2.7,2.3,2.87,2.0,3.25,2.375,1.8,1.75,3.2,2.4,2.6,3.25,2.3,2.1,-0.25,2.1,3.1,2.2,1.95,1.8,2.2,Fulham_Middlesbrough_2003,1,1,2003-08-16,2003,16,25
4,1.85,1.95,3.2,0.0,0.0,2.2,2.8,2.62,3.2,1.8,2.63,2.6,3.25,2.6,2.5,2.6,2.0,3.2,2.5,1.85,1.75,3.2,2.5,2.5,3.2,2.3,2.0,0.0,1.85,3.1,2.38,1.95,2.05,2.4,Leicester_Southampton_2003,1,1,2003-08-16,2003,27,12
5,1.95,1.85,5.0,-1.75,-1.75,1.3,8.0,9.5,5.0,2.2,8.5,10.0,4.8,9.0,1.286,9.0,1.9,4.5,1.25,1.95,2.1,4.5,1.3,10.0,5.0,1.22,1.66,-1.75,2.05,4.2,1.25,1.65,1.85,1.25,Man United_Bolton_2003,1,1,2003-08-16,2003,13,23
6,2.1,1.75,3.2,-0.25,-0.25,2.4,2.6,2.62,3.2,1.9,2.8,2.75,3.25,2.7,2.375,2.8,1.75,3.25,2.375,2.05,1.8,3.2,2.4,2.6,3.3,2.3,1.9,-0.25,2.1,3.0,2.38,1.9,1.8,2.25,Portsmouth_Aston Villa_2003,1,1,2003-08-16,2003,28,21
7,2.05,1.75,3.3,-0.25,-0.25,2.1,3.0,2.5,3.2,1.95,2.75,2.75,3.25,2.75,2.25,2.75,1.8,3.4,2.25,2.05,1.8,3.2,2.38,2.75,3.25,2.37,1.85,0.0,1.8,3.1,2.25,1.9,2.1,2.3,Charlton_Man City_2003,1,1,2003-08-17,2003,29,3
8,1.8,2.0,3.2,0.25,0.25,2.7,2.3,2.1,3.2,2.0,2.25,2.375,3.25,2.3,2.75,2.37,2.05,3.25,2.8,1.8,1.9,3.2,2.85,2.2,3.4,3.0,1.8,0.25,1.825,3.0,2.9,1.8,2.075,2.62,Leeds_Newcastle_2003,1,1,2003-08-17,2003,2,9
9,2.05,1.85,3.0,-0.25,-0.25,2.3,2.7,2.8,3.2,1.9,3.0,2.875,3.25,3.25,2.25,2.87,1.8,3.25,2.25,2.05,1.8,3.2,2.25,2.75,3.3,2.3,1.9,-0.25,2.1,3.0,2.25,1.9,1.8,2.2,Liverpool_Chelsea_2003,1,1,2003-08-17,2003,10,30
