,SBD,B365D,SBH,LBA,BWD,GBAH,BWH,WHD,LBAHA,B365AHA,GBH,GBD,B365AH,WHA,GBA,IWH,B365H,WHH,LBH,IWA,LBD,GB>2.5,IWD,LBAHH,GB<2.5,B365A,B365AHH,SBA,B365<2.5,GBAHH,GBAHA,LBAH,BWA,B365>2.5,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
0,3.25,3.1,1.91,4.33,3.25,-0.25,1.9,3.1,1.82,1.9,2.0,3.25,-0.5,4.0,3.5,1.85,1.9,1.8,1.73,3.6,3.2,1.91,3.1,2.02,1.79,4.33,2.0,3.75,1.75,1.7,2.05,-0.5,4.0,2.05,Aston Villa_Southampton_2004,1,1,2004-08-14,2004,1,30
1,3.4,3.1,1.73,4.5,3.25,-0.5,1.8,2.87,2.04,2.05,1.77,3.3,-0.5,4.0,4.75,1.8,1.8,1.9,1.67,3.8,3.25,1.85,3.1,1.8,1.85,5.0,1.85,4.33,1.8,1.77,1.95,-0.5,4.5,2.0,Blackburn_West Brom_2004,1,1,2004-08-14,2004,3,36
2,3.2,3.2,2.25,3.0,3.2,-0.25,2.1,3.2,1.8,1.9,2.25,3.2,-0.25,2.9,3.1,2.2,2.25,2.15,2.2,2.9,3.0,1.86,3.0,2.04,1.85,3.1,2.0,2.88,1.8,2.0,1.85,-0.25,3.3,2.0,Bolton_Charlton_2004,1,1,2004-08-14,2004,5,10
3,3.25,3.25,2.0,3.0,3.2,-0.25,2.1,3.1,2.06,2.05,2.1,3.25,-0.25,3.2,3.25,2.0,2.1,2.05,2.1,3.2,3.2,1.85,3.1,1.78,1.85,3.4,1.85,3.4,1.9,1.85,2.0,-0.25,3.3,1.9,Man City_Fulham_2004,1,1,2004-08-14,2004,21,15
4,3.25,3.25,2.3,2.75,3.2,,2.4,3.0,1.9,2.1,2.35,3.15,0.0,2.7,2.95,2.3,2.3,2.37,2.25,2.6,3.2,1.9,3.1,1.94,1.79,3.0,1.8,2.8,1.8,,,-0.25,2.7,2.0,Middlesbrough_Newcastle_2004,1,1,2004-08-14,2004,23,24
5,3.25,3.25,2.1,3.5,3.2,-0.25,2.1,3.1,2.04,2.075,2.15,3.2,-0.25,3.3,3.2,1.9,2.1,2.0,1.91,3.5,3.2,1.9,3.1,1.8,1.79,3.4,1.825,3.2,1.85,1.9,1.95,-0.25,3.3,1.95,Norwich_Crystal Palace_2004,1,1,2004-08-14,2004,25,12
6,3.2,3.2,2.3,2.6,3.2,0.0,2.25,3.2,1.76,2.1,2.45,3.2,0.0,2.62,2.8,2.3,2.4,2.3,2.38,2.7,3.2,1.95,3.0,2.08,1.75,2.87,1.8,2.8,1.8,1.85,2.0,-0.25,3.0,2.0,Portsmouth_Birmingham_2004,1,1,2004-08-14,2004,26,2
7,3.2,3.2,3.0,2.25,3.2,0.25,3.0,3.1,1.8,1.925,2.75,3.2,0.25,2.3,2.4,2.7,3.1,2.75,2.75,2.3,3.2,1.85,3.0,2.04,1.85,2.25,1.975,2.2,1.9,1.95,1.9,0.25,2.25,1.9,Tottenham_Liverpool_2004,1,1,2004-08-14,2004,34,20
8,3.25,3.25,2.1,3.0,3.1,0.0,2.15,3.2,1.84,2.05,2.1,3.25,-0.25,3.2,3.35,2.0,2.1,2.0,2.1,3.2,3.2,1.9,3.1,2.0,1.79,3.4,1.85,3.2,1.85,1.6,2.2,-0.5,3.2,1.95,Chelsea_Man United_2004,1,1,2004-08-15,2004,11,22
9,3.3,3.4,5.0,1.62,3.4,0.75,5.0,3.1,1.88,1.85,4.75,3.3,0.75,1.61,1.77,4.0,6.0,5.5,5.0,1.75,3.25,1.75,3.2,1.96,1.95,1.61,2.05,1.67,1.9,1.95,1.9,0.75,1.7,1.9,Everton_Arsenal_2004,1,1,2004-08-15,2004,14,0
10,3.25,3.25,2.25,3.0,3.2,0.0,2.2,3.1,1.84,1.85,2.3,3.2,-0.25,3.0,3.0,2.1,2.3,2.15,2.1,3.1,3.2,1.95,3.0,2.0,1.75,3.0,2.05,2.88,1.75,1.65,2.15,-0.25,3.0,2.05,Southampton_Blackburn_2004,2,2,2004-08-21,2004,30,3
11,3.4,3.4,1.62,5.0,3.45,-1.0,1.7,3.1,1.92,1.9,1.73,3.3,-0.75,5.0,5.0,1.65,1.66,1.66,1.62,4.4,3.25,1.79,3.3,1.92,1.9,5.5,2.0,5.5,1.95,2.15,1.65,-0.75,4.45,1.85,Newcastle_Tottenham_2004,2,2,2004-08-21,2004,24,34
12,5.0,5.0,1.25,10.0,5.0,-1.25,1.25,4.5,1.82,1.8,1.31,4.75,-1.5,8.0,9.5,1.3,1.25,1.28,1.22,8.0,5.0,1.71,4.2,2.02,2.0,13.0,2.1,10.0,2.05,1.65,2.15,-1.5,10.0,1.75,Man United_Norwich_2004,2,2,2004-08-21,2004,22,25
13,3.6,3.5,1.53,5.5,3.5,-1.25,1.6,3.3,1.84,1.825,1.61,3.5,-1.0,5.5,5.75,1.5,1.57,1.57,1.57,5.0,3.25,1.79,3.7,2.0,1.9,6.5,2.075,6.0,1.95,2.2,1.6,-1.0,5.25,1.85,Liverpool_Man City_2004,2,2,2004-08-21,2004,20,21
14,3.4,3.2,4.5,1.73,3.4,0.75,4.25,2.87,1.96,2.0,4.5,3.25,0.75,1.83,1.83,3.8,4.5,4.33,4.33,1.8,3.2,1.9,3.1,1.88,1.79,1.83,1.9,1.73,1.85,1.9,1.95,0.75,1.75,1.95,Birmingham_Chelsea_2004,2,2,2004-08-21,2004,2,11
15,3.2,3.25,2.3,2.8,3.1,-0.25,2.25,3.2,2.04,2.1,2.35,3.2,0.0,2.8,2.95,2.1,2.3,2.2,2.2,3.1,3.2,1.85,3.0,1.8,1.85,3.0,1.8,2.88,1.85,2.0,1.75,0.0,3.0,1.95,Crystal Palace_Everton_2004,2,2,2004-08-21,2004,12,14
16,3.2,3.2,2.0,3.75,3.25,-0.25,1.9,3.2,1.8,1.825,2.05,3.3,-0.5,3.75,3.5,1.9,2.0,1.83,1.8,3.5,3.25,1.85,3.1,2.04,1.85,3.75,2.075,3.5,1.9,1.7,2.05,-0.5,3.75,1.9,Charlton_Portsmouth_2004,2,2,2004-08-21,2004,10,26
17,3.2,3.2,2.2,3.0,3.2,0.0,2.2,3.2,1.88,1.95,2.25,3.2,-0.25,2.9,3.1,2.0,2.25,2.15,2.1,3.2,3.2,1.85,3.1,1.96,1.85,3.1,1.95,3.0,1.9,1.65,2.15,-0.25,3.0,1.9,Fulham_Bolton_2004,2,2,2004-08-21,2004,15,5
18,3.1,3.2,2.8,2.25,3.1,0.25,2.65,2.9,2.12,2.125,2.8,3.2,0.25,2.5,2.45,2.7,2.87,2.62,2.88,2.3,3.0,1.95,3.0,1.72,1.75,2.4,1.775,2.38,1.75,1.75,2.12,0.25,2.5,2.05,West Brom_Aston Villa_2004,2,2,2004-08-22,2004,36,1
19,4.33,4.33,1.33,10.0,4.0,-1.25,1.35,4.0,1.76,1.775,1.36,4.25,-1.5,8.0,9.0,1.4,1.36,1.33,1.25,6.0,4.5,1.65,3.9,2.08,2.05,9.0,2.125,8.5,2.1,1.71,2.05,-1.5,9.0,1.7,Arsenal_Middlesbrough_2004,2,2,2004-08-22,2004,0,23
20,3.75,3.75,7.0,1.44,3.6,1.0,7.5,3.6,1.72,2.0,7.5,3.75,1.25,1.44,1.47,5.0,8.5,6.5,6.5,1.5,3.6,1.85,3.7,2.12,1.85,1.44,1.9,1.44,1.95,2.05,1.7,1.0,1.45,1.85,Crystal Palace_Chelsea_2004,3,3,2004-08-24,2004,12,11
21,3.25,3.1,1.91,3.5,3.25,-0.75,1.95,3.2,1.72,2.1,1.93,3.25,-0.25,3.75,3.95,1.9,1.9,1.83,1.91,3.5,3.2,1.95,3.1,2.12,1.75,4.33,1.8,3.75,1.75,2.2,1.6,-0.5,3.6,2.05,Birmingham_Man City_2004,3,3,2004-08-24,2004,2,21
22,4.5,5.0,1.29,10.0,5.0,-0.5,1.25,5.0,1.94,2.025,1.3,4.8,-1.5,9.5,10.0,1.25,1.28,1.22,1.22,9.0,5.0,1.55,4.5,1.9,2.2,10.0,1.875,10.0,2.15,1.3,3.24,-1.5,10.0,1.65,Arsenal_Blackburn_2004,3,3,2004-08-25,2004,0,3
23,3.2,3.2,2.38,2.5,3.2,-0.5,2.4,3.1,2.02,2.1,2.35,3.2,0.0,2.75,2.95,2.3,2.5,2.3,2.5,2.7,3.2,1.95,3.0,1.82,1.75,2.75,1.8,2.75,1.8,2.35,1.53,0.0,2.7,2.0,Charlton_Aston Villa_2004,3,3,2004-08-25,2004,10,1
24,3.2,3.2,2.38,2.75,3.25,-0.5,2.3,3.1,1.74,2.15,2.4,3.2,0.0,2.75,2.85,2.3,2.5,2.3,2.2,2.7,3.25,1.95,3.0,2.1,1.75,2.75,1.75,2.75,1.85,2.4,1.51,-0.25,2.8,1.95,Fulham_Middlesbrough_2004,3,3,2004-08-25,2004,15,23
25,3.75,4.0,1.44,6.5,3.7,-1.5,1.45,3.4,1.76,1.775,1.51,3.5,-1.25,6.0,7.5,1.45,1.44,1.5,1.44,5.4,3.6,1.75,3.8,2.08,1.95,7.5,2.125,7.0,2.0,2.25,1.46,-1.25,7.0,1.8,Newcastle_Norwich_2004,3,3,2004-08-25,2004,24,25
26,3.2,3.2,2.2,2.75,3.2,-0.5,2.1,3.1,1.78,1.85,2.35,3.2,-0.25,2.75,2.95,2.2,2.25,2.3,2.2,2.9,3.25,1.95,3.0,2.06,1.75,3.1,2.05,3.0,1.85,2.35,1.53,-0.25,3.2,1.95,Southampton_Bolton_2004,3,3,2004-08-25,2004,30,5
27,3.2,3.2,2.6,2.4,3.25,0.5,2.5,3.1,2.08,1.8,2.85,3.2,0.0,2.3,2.4,2.6,2.75,2.75,2.5,2.4,3.25,1.95,3.0,1.76,1.75,2.5,2.1,2.5,1.75,1.51,2.4,0.25,2.55,2.05,West Brom_Tottenham_2004,3,3,2004-08-25,2004,36,34
28,3.2,3.2,2.0,3.75,3.25,-0.25,1.9,3.1,1.72,1.8,2.1,3.25,-0.5,3.0,3.4,2.1,2.0,2.15,1.83,3.1,3.2,1.9,3.0,2.12,1.79,3.75,2.1,3.5,1.8,1.8,2.05,-0.5,3.75,2.0,Tottenham_Birmingham_2004,4,4,2004-08-28,2004,34,2
29,4.0,4.33,7.5,1.4,3.75,1.25,7.0,4.0,1.84,2.0,7.5,4.1,1.25,1.33,1.42,6.0,9.0,8.0,7.0,1.4,3.75,1.65,3.9,2.0,2.05,1.36,1.9,1.4,2.2,1.9,1.95,1.25,1.45,1.65,Norwich_Arsenal_2004,4,4,2004-08-28,2004,25,0
30,3.6,4.0,1.5,6.0,3.45,-1.0,1.55,3.5,1.88,2.1,1.55,3.5,-1.0,5.5,6.5,1.5,1.44,1.53,1.5,5.0,3.4,1.79,3.7,1.96,1.9,7.5,1.8,6.5,1.95,1.85,2.0,-1.25,6.0,1.85,Middlesbrough_Crystal Palace_2004,4,4,2004-08-28,2004,23,12
31,3.2,3.2,2.2,3.2,3.25,-0.25,1.9,3.1,1.98,2.05,2.15,3.25,-0.25,3.1,3.25,2.1,2.25,2.1,2.0,3.1,3.2,1.85,3.0,1.86,1.85,3.1,1.85,3.0,1.85,1.85,2.0,-0.25,3.75,1.95,Man City_Charlton_2004,4,4,2004-08-28,2004,21,10
