,Bb1X2,BbAvAHA,BbMxH,SBD,B365D,BbAvD,SBH,VCD,LBA,BWD,BbAvAHH,BbMxD,BWH,BbOU,WHD,VCA,GBH,GBD,WHA,BbMx>2.5,GBA,IWH,BbAvH,B365H,WHH,LBH,BbAv>2.5,SJA,BbMxAHA,IWA,LBD,IWD,SJH,B365A,BbAHh,SBA,SJD,BbAH,BbMx<2.5,BbAvA,BWA,BbMxA,BbAv<2.5,VCH,BbMxAHH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
0,56,1.84,2.4,3.2,3.25,3.16,2.2,3.25,3.2,3.25,2.01,3.3,2.1,36,3.2,3.1,2.25,3.2,2.8,2.2,3.1,2.1,2.2,2.3,2.2,2.1,2.01,3.4,1.92,3.1,3.0,3.0,2.0,3.0,-0.25,3.2,3.25,22,1.87,3.05,3.15,3.4,1.7,2.2,2.1,Aston Villa_Bolton_2005,1,1,2005-08-13,2005,1,5
1,56,1.86,5.65,3.6,3.4,3.36,4.33,3.3,1.83,3.35,2.0,3.7,4.35,36,3.2,1.8,4.25,3.4,1.72,2.1,1.83,3.8,4.69,5.0,4.33,3.75,1.93,1.83,1.93,1.8,3.2,3.1,4.0,1.72,0.75,1.75,3.25,23,1.87,1.69,1.75,1.8,1.79,4.5,2.05,Everton_Man United_2005,1,1,2005-08-13,2005,14,22
2,56,2.05,2.6,3.2,3.25,3.16,2.3,3.25,2.88,3.2,1.81,3.3,2.3,36,3.2,2.8,2.3,3.3,2.62,2.24,2.95,2.2,2.31,2.37,2.3,2.25,2.04,3.0,2.11,2.9,3.0,3.0,2.2,2.87,0.0,3.0,3.2,21,1.77,2.87,2.8,3.05,1.69,2.35,1.85,Fulham_Birmingham_2005,1,1,2005-08-13,2005,15,2
3,55,1.76,1.8,3.4,3.4,3.38,1.7,3.25,4.5,3.45,2.1,3.63,1.65,36,3.3,5.0,1.73,3.45,4.33,2.1,4.75,1.7,1.69,1.72,1.7,1.67,1.94,5.0,1.83,4.2,3.25,3.2,1.67,5.0,-0.75,5.0,3.25,23,1.9,4.79,4.8,5.6,1.77,1.75,2.19,Man City_West Brom_2005,1,1,2005-08-13,2005,21,36
4,56,2.0,3.3,3.2,3.2,3.17,2.7,3.25,2.3,3.35,1.86,3.35,2.9,36,3.1,2.35,2.7,3.3,2.3,2.23,2.45,2.5,2.81,2.87,2.75,2.75,2.02,2.38,2.04,2.5,3.1,3.0,2.75,2.4,0.25,2.5,3.2,21,1.8,2.35,2.2,2.5,1.71,2.8,1.89,Middlesbrough_Liverpool_2005,1,1,2005-08-13,2005,23,20
5,56,1.99,3.25,3.2,3.2,3.18,2.7,3.25,2.25,3.25,1.87,3.3,2.65,36,3.2,2.4,2.55,3.3,2.3,2.1,2.6,2.5,2.79,2.75,2.62,2.75,1.96,2.5,2.03,2.5,3.2,3.0,2.6,2.5,0.25,2.5,3.2,21,1.84,2.35,2.4,2.5,1.75,2.75,1.95,Portsmouth_Tottenham_2005,1,1,2005-08-13,2005,26,34
6,55,1.83,2.6,3.25,3.2,3.17,2.4,3.25,2.75,3.25,2.03,3.35,2.25,35,3.2,2.75,2.4,3.35,2.62,2.12,2.75,2.2,2.33,2.37,2.3,2.38,1.98,2.88,1.86,2.9,3.0,3.0,2.25,2.9,-0.25,2.8,3.25,21,1.82,2.82,2.85,3.05,1.74,2.4,2.07,Sunderland_Charlton_2005,1,1,2005-08-13,2005,32,10
7,55,2.04,2.6,3.2,3.2,3.16,2.5,3.25,2.75,3.3,1.82,3.35,2.2,35,3.2,2.75,2.4,3.3,2.62,2.25,2.75,2.3,2.4,2.5,2.3,2.38,2.02,2.75,2.08,2.7,3.0,3.0,2.38,2.75,0.0,2.7,3.2,20,1.8,2.74,2.9,2.9,1.71,2.4,1.86,West Ham_Blackburn_2005,1,1,2005-08-13,2005,37,3
8,54,1.83,1.5,4.33,4.2,3.91,1.4,3.8,7.0,4.0,2.03,4.45,1.35,36,3.75,7.5,1.44,4.0,7.0,1.8,7.5,1.45,1.42,1.4,1.4,1.4,1.7,7.5,1.89,5.4,3.75,3.8,1.4,8.0,-1.25,7.5,4.0,22,2.25,7.36,9.0,8.73,2.01,1.45,2.08,Arsenal_Newcastle_2005,1,1,2005-08-14,2005,0,24
9,54,1.91,12.5,4.8,4.5,4.32,9.5,4.5,1.33,4.6,1.92,5.0,9.0,34,4.5,1.3,9.0,4.25,1.28,1.88,1.36,6.0,9.05,10.0,8.0,8.0,1.76,1.33,2.0,1.4,4.0,3.9,8.0,1.33,1.5,1.3,4.5,20,2.11,1.32,1.3,1.4,1.95,11.0,2.0,Wigan_Chelsea_2005,1,1,2005-08-14,2005,38,11
10,70,2.05,2.2,3.3,3.2,3.17,2.0,3.25,3.0,3.0,1.82,3.3,2.25,45,3.2,3.4,2.15,3.25,3.0,2.25,3.25,2.1,2.11,2.2,2.1,2.1,2.04,3.2,2.12,3.1,3.2,3.0,2.1,3.25,-0.25,3.6,3.2,26,1.77,3.24,3.1,3.6,1.66,2.1,1.85,West Brom_Portsmouth_2005,2,2,2005-08-20,2005,36,26
11,73,1.95,2.0,3.25,3.3,3.2,1.8330000000000002,3.25,4.0,3.1,1.89,3.5,1.9,45,3.3,4.0,1.9,3.3,3.75,2.15,4.0,1.9,1.86,1.9,1.8,1.8,1.99,4.0,2.01,3.5,3.2,3.1,1.83,4.0,-0.5,4.333,3.25,26,1.8,3.91,4.0,4.5,1.72,1.9,1.94,Tottenham_Middlesbrough_2005,2,2,2005-08-20,2005,34,23
12,73,1.96,1.7,3.4,3.6,3.41,1.615,3.6,5.0,3.5,1.9,3.8,1.6,44,3.0,6.0,1.6,3.5,5.0,1.95,6.0,1.65,1.6,1.61,1.7,1.57,1.82,5.5,2.01,4.4,3.5,3.3,1.57,5.5,-0.75,6.0,3.5,25,2.05,5.35,5.25,6.5,1.89,1.55,1.99,Newcastle_West Ham_2005,2,2,2005-08-20,2005,24,37
13,73,1.95,1.3,5.0,5.5,4.79,1.285,5.0,10.0,5.0,1.87,5.6,1.25,45,4.5,13.0,1.27,5.0,8.0,1.8,11.0,1.27,1.25,1.22,1.28,1.25,1.72,10.0,2.0,8.5,4.5,4.3,1.29,13.0,-1.5,10.0,4.5,25,2.1,10.46,10.0,16.0,1.97,1.25,1.95,Man United_Aston Villa_2005,2,2,2005-08-20,2005,22,1
