,WHD,BbAH,VCA,BbAvAHH,IWH,IWA,WHA,BbAvD,BbAHh,BbMxAHA,BWH,SBD,BbAvAHA,B365A,GBD,SJA,GBA,BbAvA,VCD,BbMxAHH,B365H,SJD,BbMxH,BbMx<2.5,SBA,BbMxA,B365D,LBH,VCH,LBD,GBH,LBA,WHH,BbOU,BbMx>2.5,BbMxD,SJH,Bb1X2,BbAvH,BbAv<2.5,IWD,BWD,BWA,BbAv>2.5,SBH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
0,4.5,28,11.0,1.98,1.3,8.5,8.0,4.82,-1.5,1.9,1.25,4.75,1.85,13.0,5.0,10.0,11.0,10.72,4.5,2.09,1.28,4.5,1.33,2.12,11.0,13.25,4.5,1.29,1.3,4.0,1.27,10.0,1.28,39,1.83,5.5,1.29,47,1.27,2.01,4.4,5.0,10.0,1.75,1.28,Arsenal_Aston Villa_2006,1,1,2006-08-19,2006,31,21
1,3.1,27,2.5,1.96,2.5,2.6,2.4,3.15,0.0,1.92,2.6,3.2,1.83,2.6,3.25,2.6,2.55,2.53,3.25,2.1,2.62,3.2,2.9,1.75,2.5,2.7,3.2,2.5,2.65,3.2,2.7,2.5,2.6,39,2.3,3.32,2.5,47,2.66,1.63,3.1,3.1,2.55,2.17,2.7,Bolton_Tottenham_2006,1,1,2006-08-19,2006,23,6
2,3.3,26,5.5,1.94,1.7,4.3,5.5,3.46,-0.75,1.96,1.65,3.4,1.93,5.5,3.5,5.5,5.5,5.35,3.5,2.0,1.66,3.5,1.73,1.76,6.0,6.0,3.4,1.62,1.6,3.25,1.65,5.0,1.57,39,2.2,3.7,1.57,46,1.63,1.69,3.4,3.4,5.0,2.07,1.62,Everton_Watford_2006,1,1,2006-08-19,2006,8,39
3,3.2,26,5.0,2.06,1.7,4.3,4.33,3.39,-0.75,1.93,1.7,3.4,1.81,4.75,3.5,5.0,5.0,4.72,3.5,2.18,1.72,3.5,1.87,1.75,5.25,5.25,3.5,1.67,1.65,3.2,1.7,5.0,1.72,39,2.25,3.55,1.62,44,1.71,1.66,3.4,3.35,4.7,2.12,1.67,Newcastle_Wigan_2006,1,1,2006-08-19,2006,9,20
4,3.1,27,2.75,1.75,2.5,2.6,2.87,3.2,0.0,2.2,2.45,3.2,2.06,3.1,3.2,2.88,2.9,2.83,3.25,1.86,2.3,3.25,2.51,1.69,2.88,3.2,3.1,2.25,2.4,3.2,2.4,2.75,2.2,39,2.26,3.33,2.25,46,2.37,1.64,3.1,3.1,2.7,2.15,2.38,Portsmouth_Blackburn_2006,1,1,2006-08-19,2006,28,33
5,3.1,28,2.75,1.7,2.5,2.6,2.8,3.19,0.0,2.33,2.55,3.2,2.08,2.8,3.2,2.75,2.75,2.82,3.25,1.8,2.5,3.2,2.55,1.72,2.7,3.2,3.1,2.25,2.4,3.2,2.5,2.75,2.25,39,2.25,3.3,2.38,45,2.37,1.65,3.1,3.1,2.6,2.14,2.5,Reading_Middlesbrough_2006,1,1,2006-08-19,2006,36,25
6,3.5,26,1.55,1.88,4.8,1.6,1.53,3.63,1.0,2.1,5.9,3.4,1.98,1.53,3.6,1.57,1.55,1.54,3.75,1.97,6.0,3.5,8.15,1.77,1.57,1.71,3.8,5.5,5.5,3.5,6.5,1.53,5.5,38,2.21,4.0,5.5,44,6.5,1.69,3.6,3.5,1.55,2.06,6.5,Sheffield United_Liverpool_2006,1,1,2006-08-19,2006,15,10
7,3.1,29,3.75,1.77,2.0,3.3,3.6,3.23,-0.25,2.18,2.1,3.2,2.11,3.75,3.2,3.4,3.6,3.56,3.1,1.8,2.0,3.25,2.1,1.78,3.6,4.0,3.2,1.91,2.0,3.2,2.05,3.5,1.9,39,2.25,3.4,2.0,46,2.0,1.68,3.2,3.2,3.2,2.1,2.05,West Ham_Charlton_2006,1,1,2006-08-19,2006,5,29
8,5.0,25,12.0,1.85,1.25,9.5,11.0,5.49,-1.5,2.05,1.2,5.5,1.97,13.0,6.0,12.0,12.0,12.6,5.5,1.92,1.22,5.0,1.25,2.1,15.0,18.0,5.5,1.2,1.22,5.0,1.22,11.0,1.2,37,1.84,6.25,1.22,46,1.21,1.97,4.8,5.5,12.0,1.76,1.2,Chelsea_Man City_2006,1,1,2006-08-20,2006,30,3
9,5.0,26,9.0,1.99,1.3,8.5,9.5,4.98,-1.5,1.9,1.27,5.0,1.84,13.0,5.0,10.0,11.0,11.07,5.0,2.14,1.22,5.0,1.3,2.15,12.0,13.95,5.5,1.3,1.28,4.0,1.27,10.0,1.22,38,1.83,5.5,1.25,46,1.26,2.0,4.4,4.85,9.5,1.73,1.25,Man United_Fulham_2006,1,1,2006-08-20,2006,13,16
10,3.1,22,2.4,1.97,2.5,2.5,2.5,3.21,0.0,1.93,2.55,3.2,1.8,2.4,3.25,2.5,2.5,2.46,3.25,2.05,2.87,3.2,2.88,1.85,2.6,2.7,3.2,2.6,2.75,3.2,2.7,2.37,2.5,34,2.1,3.3,2.6,45,2.66,1.75,3.2,3.1,2.6,1.99,2.6,Watford_West Ham_2006,2,2,2006-08-22,2006,39,5
11,3.75,22,7.5,1.82,1.55,5.8,6.0,3.82,-1.0,2.1,1.4,4.0,2.02,7.0,3.75,6.5,8.0,7.22,3.8,1.85,1.5,3.6,1.51,1.93,7.25,8.6,3.75,1.4,1.45,3.75,1.45,7.0,1.44,34,2.05,4.1,1.5,46,1.44,1.79,3.4,4.0,7.4,1.95,1.44,Tottenham_Sheffield United_2006,2,2,2006-08-22,2006,6,15
12,3.2,18,4.0,2.02,1.9,3.6,3.75,3.25,-0.5,1.88,1.75,3.3,1.85,4.0,3.3,4.33,4.0,3.88,3.25,2.05,1.9,3.2,2.0,1.85,4.33,4.33,3.25,1.72,1.84,3.2,1.9,4.33,1.83,32,2.18,3.35,1.8,44,1.89,1.73,3.2,3.3,4.4,2.04,1.83,Aston Villa_Reading_2006,2,2,2006-08-23,2006,21,36
13,3.2,19,3.0,2.04,2.2,3.0,3.0,3.2,-0.25,1.86,2.15,3.2,1.84,3.1,3.2,3.2,3.2,3.03,3.25,2.07,2.3,3.2,2.35,1.75,3.2,3.3,3.1,2.1,2.25,3.2,2.2,3.0,2.1,32,2.3,3.3,2.1,44,2.22,1.66,3.1,3.1,3.2,2.11,2.2,Blackburn_Everton_2006,2,2,2006-08-23,2006,33,8
