,WHD,BbAH,VCA,BbAvAHH,IWH,IWA,WHA,BbAvD,BbAHh,BSH,BWH,SBD,BbAvAHA,B365A,GBD,SJA,GBA,BbAvA,VCD,BbMxAHH,B365H,SJD,BbMxH,BbMx<2.5,BSA,SBA,SBH,BbMxA,B365D,LBH,VCH,BSD,LBD,LBA,WHH,GBH,BbMx>2.5,BbOU,BbMxD,SJH,Bb1X2,BbAvH,BbAv<2.5,IWD,BWD,BWA,BbAv>2.5,BbMxAHA,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
0,5.5,26,13.0,1.81,1.2,11.0,12.0,5.6,-1.5,1.22,1.22,5.5,1.97,15.0,5.5,12.0,13.0,13.52,6.0,1.88,1.2,5.5,1.26,2.25,13.0,12.0,1.2,17.0,6.5,1.2,1.25,5.0,5.0,11.0,1.17,1.22,1.71,37,6.25,1.2,40,1.22,2.14,5.2,5.5,10.0,1.65,2.12,Arsenal_West Brom_2008,1,1,2008-08-16,2008,31,7
1,3.1,27,4.8,1.31,1.75,4.2,4.0,3.35,0.0,1.8,1.75,3.25,3.27,4.5,3.25,4.33,4.5,4.54,3.4,1.35,1.83,3.2,1.87,1.7,4.33,4.2,1.8,5.3,3.5,1.73,1.85,3.25,3.4,4.0,1.8,1.83,2.33,37,3.51,1.8,44,1.81,1.64,3.3,3.3,4.4,2.16,3.56,Bolton_Stoke_2008,1,1,2008-08-16,2008,23,22
2,3.1,28,4.0,1.43,2.0,3.3,3.5,3.25,0.0,2.0,1.85,3.25,2.76,4.0,3.25,3.4,3.75,3.86,3.3,1.73,2.0,3.25,2.06,1.7,3.5,3.75,1.9,4.21,3.3,1.8,2.05,3.25,3.2,4.0,1.95,2.0,2.34,37,3.39,2.0,44,1.98,1.63,3.2,3.25,4.0,2.17,3.05,Everton_Blackburn_2008,1,1,2008-08-16,2008,8,33
3,2.9,26,2.8,1.85,2.4,2.6,2.62,3.23,0.0,2.6,2.45,3.2,1.94,2.8,3.25,2.75,2.6,2.68,3.4,1.91,2.6,3.2,2.7,1.69,2.5,2.6,2.5,2.89,3.2,2.4,2.6,3.25,3.25,2.5,2.5,2.6,2.32,37,3.38,2.38,44,2.56,1.64,3.2,3.15,2.65,2.15,2.07,Hull_Fulham_2008,1,1,2008-08-16,2008,34,16
4,3.2,27,2.3,2.3,2.9,2.2,2.15,3.31,0.0,2.8,2.8,3.2,1.58,2.25,3.25,2.2,2.3,2.2,3.4,2.45,3.2,3.4,3.57,2.12,2.3,2.3,2.8,2.3,3.4,2.8,3.2,3.25,3.2,2.2,2.9,3.0,1.9,37,3.55,2.88,44,3.19,1.92,3.2,3.2,2.3,1.81,1.65,Middlesbrough_Tottenham_2008,1,1,2008-08-16,2008,25,6
5,3.3,26,1.65,1.93,4.5,1.65,1.57,3.5,0.75,4.5,5.0,3.4,1.94,1.67,3.4,1.73,1.7,1.68,3.8,1.97,5.5,3.4,5.91,1.76,1.73,1.65,5.0,1.76,3.6,4.5,5.5,3.4,3.3,1.67,5.5,5.0,2.22,37,3.75,4.33,43,5.24,1.69,3.5,3.35,1.67,2.08,1.99,Sunderland_Liverpool_2008,1,1,2008-08-16,2008,38,10
6,3.2,27,4.35,1.39,1.8,3.8,3.75,3.27,0.0,1.91,1.9,3.25,2.82,4.2,3.25,3.75,4.0,3.98,3.5,1.43,1.91,3.25,2.09,1.75,3.8,3.75,1.9,4.4,3.4,1.8,1.9,3.25,3.2,4.0,1.83,1.91,2.22,37,3.4,1.91,44,1.94,1.68,3.3,3.2,3.8,2.1,3.2,West Ham_Wigan_2008,1,1,2008-08-16,2008,5,20
7,3.2,25,4.35,1.36,2.0,3.3,3.5,3.32,0.0,1.91,1.95,3.25,2.95,4.33,3.25,3.75,4.0,4.36,3.5,1.4,1.91,3.25,2.0,1.73,3.75,3.75,1.9,5.05,3.4,1.83,1.9,3.3,3.2,3.75,1.91,1.91,2.33,34,3.55,1.91,42,1.84,1.66,3.2,3.2,3.6,2.12,3.25,Aston Villa_Man City_2008,1,1,2008-08-17,2008,21,3
8,4.2,25,11.0,2.1,1.3,8.5,8.5,4.69,-1.5,1.33,1.3,4.5,1.75,10.0,4.75,10.0,9.0,10.05,5.0,2.19,1.33,5.0,1.36,1.93,10.0,9.0,1.3,12.0,5.0,1.29,1.33,4.2,4.33,9.0,1.3,1.33,2.01,36,5.2,1.25,40,1.32,1.83,4.4,4.75,8.25,1.9,1.8,Chelsea_Portsmouth_2008,1,1,2008-08-17,2008,30,28
9,4.5,25,12.0,2.02,1.3,8.5,10.0,5.03,-1.5,1.29,1.3,5.0,1.83,11.0,4.75,10.0,10.0,11.0,5.5,2.08,1.29,5.0,1.32,2.2,11.0,10.0,1.25,13.0,5.5,1.25,1.28,4.5,4.5,10.0,1.25,1.3,1.83,36,5.5,1.25,40,1.28,2.03,4.4,4.75,8.25,1.72,1.91,Man United_Newcastle_2008,1,1,2008-08-17,2008,13,9
10,3.3,24,2.5,2.03,2.8,2.3,2.62,3.23,0.0,2.7,2.65,3.2,1.77,2.5,3.2,2.5,2.5,2.48,3.3,2.16,2.88,3.2,3.05,1.74,2.5,2.5,2.6,2.62,3.25,2.8,2.9,3.25,3.3,2.5,2.62,2.75,2.25,37,3.36,2.88,43,2.8,1.65,3.1,3.15,2.45,2.14,1.83,West Brom_Everton_2008,2,2,2008-08-23,2008,7,8
11,4.2,24,7.0,1.86,1.5,5.5,7.5,3.85,-1.0,1.5,1.4,3.8,2.01,7.0,3.75,7.5,6.5,7.01,4.2,1.9,1.5,3.8,1.57,2.1,6.5,6.75,1.45,7.8,4.0,1.53,1.5,3.75,3.75,7.0,1.44,1.53,1.84,36,4.2,1.5,42,1.49,2.0,3.8,4.0,7.5,1.75,2.04,Tottenham_Sunderland_2008,2,2,2008-08-23,2008,6,38
12,3.6,23,1.7,3.56,4.3,1.7,1.7,3.51,0.0,5.0,4.65,3.4,1.27,1.73,3.4,1.73,1.73,1.7,3.7,4.0,5.0,3.5,5.77,1.93,1.73,1.7,4.5,1.75,3.6,5.0,5.3,3.3,3.25,1.8,5.0,5.0,2.0,36,3.76,5.0,42,5.01,1.82,3.4,3.4,1.7,1.91,1.3,Stoke_Aston Villa_2008,2,2,2008-08-23,2008,22,21
13,3.8,24,1.55,2.06,5.0,1.6,1.57,3.65,0.75,6.0,6.0,3.5,1.81,1.57,3.5,1.57,1.6,1.58,3.9,2.12,6.5,3.75,6.8,1.89,1.57,1.57,5.5,1.63,3.75,6.0,6.5,3.6,3.6,1.62,6.0,6.0,2.08,37,3.91,6.5,42,6.09,1.8,3.5,3.45,1.55,1.95,1.84,Fulham_Arsenal_2008,2,2,2008-08-23,2008,16,31
14,4.5,24,8.5,1.9,1.4,6.5,9.5,4.38,-1.25,1.4,1.35,4.5,1.97,10.0,4.33,8.0,8.0,8.86,4.6,1.92,1.36,4.5,1.4,1.97,8.5,8.0,1.33,10.91,4.5,1.4,1.4,4.0,4.2,9.0,1.36,1.38,2.01,36,4.8,1.4,42,1.37,1.85,4.0,4.5,7.2,1.88,2.03,Liverpool_Middlesbrough_2008,2,2,2008-08-23,2008,10,25
15,3.8,24,7.0,1.19,1.6,4.8,6.0,3.64,0.0,1.57,1.55,3.5,4.23,7.0,3.6,6.0,5.5,6.16,3.75,1.2,1.57,3.6,1.62,1.9,6.0,5.5,1.57,7.42,3.75,1.62,1.55,3.6,3.6,6.0,1.57,1.6,2.1,37,3.91,1.62,43,1.58,1.76,3.6,3.45,6.0,1.98,4.5,Blackburn_Hull_2008,2,2,2008-08-23,2008,33,34
16,3.4,24,4.8,1.29,1.75,4.2,4.5,3.43,0.0,1.8,1.7,3.4,3.45,4.75,3.3,4.5,4.5,4.61,3.5,1.3,1.8,3.5,1.87,1.77,4.75,4.5,1.7,5.05,3.5,1.8,1.8,3.25,3.5,4.5,1.83,1.8,2.16,37,3.6,1.8,43,1.78,1.7,3.3,3.35,4.7,2.06,3.8,Newcastle_Bolton_2008,2,2,2008-08-23,2008,9,23
17,3.3,24,3.3,1.63,2.1,3.1,3.2,3.25,0.0,2.25,2.1,3.2,2.22,3.2,3.25,3.4,3.1,3.15,3.25,1.71,2.3,3.2,2.4,1.7,3.0,2.9,2.25,3.4,3.25,2.25,2.3,3.25,3.3,3.2,2.25,2.25,2.33,36,3.4,2.2,41,2.25,1.63,3.2,3.15,3.25,2.17,2.33,Man City_West Ham_2008,2,2,2008-08-24,2008,3,5
18,4.33,24,1.4,1.86,6.5,1.4,1.4,4.25,1.25,8.5,8.0,4.0,2.01,1.4,4.25,1.4,1.42,1.4,4.8,1.91,8.5,4.5,9.49,1.85,1.44,1.4,7.5,1.45,4.5,8.0,8.0,3.75,4.0,1.44,8.5,7.5,2.08,36,4.83,8.0,42,8.2,1.77,4.0,4.25,1.35,1.97,2.04,Wigan_Chelsea_2008,2,2,2008-08-24,2008,20,30
19,3.3,27,1.8,3.44,4.2,1.75,1.8,3.33,0.0,5.0,5.0,3.4,1.29,1.8,3.3,1.8,1.83,1.78,3.4,3.75,4.8,3.25,5.13,1.77,1.75,1.7,4.5,1.91,3.4,5.0,5.0,3.4,3.5,1.73,4.8,4.6,2.25,38,3.5,5.0,46,4.71,1.71,3.3,3.4,1.65,2.07,1.34,Portsmouth_Man United_2008,2,2,2008-08-25,2008,28,13
20,3.6,22,7.0,2.09,1.55,5.0,6.0,3.58,-1.0,1.57,1.55,3.5,1.77,7.0,3.6,6.5,6.0,6.09,3.75,2.19,1.57,3.5,1.67,1.98,6.5,5.5,1.57,7.0,3.6,1.62,1.55,3.6,3.5,4.5,1.62,1.6,2.0,36,3.8,1.6,43,1.59,1.83,3.7,3.45,6.0,1.9,1.82,Middlesbrough_Stoke_2008,3,3,2008-08-30,2008,25,22
21,3.3,23,2.8,1.75,2.3,2.8,2.9,3.24,0.0,2.5,2.3,3.2,3.24,2.88,3.2,3.0,2.75,2.88,3.3,1.81,2.5,3.25,2.56,1.76,2.8,2.8,2.3,3.09,3.25,2.1,2.55,3.25,3.2,3.0,2.4,2.5,2.16,36,3.4,2.38,43,2.39,1.71,3.1,3.15,2.9,2.05,21.0,West Ham_Blackburn_2008,3,3,2008-08-30,2008,5,33
22,3.2,22,2.9,1.81,2.4,2.7,2.88,3.2,0.0,2.4,2.25,3.2,2.0,2.88,3.2,2.88,2.75,2.8,3.2,1.92,2.5,3.2,2.75,1.7,2.88,2.7,2.4,3.0,3.25,2.25,2.55,3.25,3.2,2.75,2.5,2.5,2.36,36,3.3,2.5,43,2.47,1.63,3.1,3.15,2.95,2.17,2.1,Hull_Wigan_2008,3,3,2008-08-30,2008,34,20
23,3.3,22,3.8,1.47,2.0,3.3,3.5,3.26,0.0,2.05,1.85,3.2,2.56,3.75,3.25,3.6,3.6,3.6,3.3,1.53,2.1,3.25,2.2,1.72,3.6,3.5,2.0,3.95,3.3,2.1,2.1,3.25,3.2,3.0,2.1,2.1,2.23,36,3.4,2.1,43,2.04,1.66,3.2,3.3,3.9,2.11,2.7,Everton_Portsmouth_2008,3,3,2008-08-30,2008,8,28
24,3.3,22,4.5,1.36,1.85,3.8,4.2,3.3,0.0,1.83,1.8,3.25,3.0,4.5,3.3,4.5,4.0,4.25,3.4,1.4,1.83,3.2,1.99,1.75,4.5,4.2,1.8,4.54,3.5,1.8,1.9,3.25,3.2,4.0,1.91,1.9,2.2,36,3.5,1.91,43,1.87,1.69,3.2,3.25,4.25,2.07,3.25,Bolton_West Brom_2008,3,3,2008-08-30,2008,23,7
25,4.0,21,8.5,1.79,1.4,6.5,8.0,3.95,-1.0,1.44,1.4,4.0,2.08,9.0,4.0,8.5,8.0,8.06,4.1,1.83,1.44,4.0,1.5,1.98,8.0,7.25,1.4,9.0,4.0,1.44,1.45,3.8,3.6,6.5,1.44,1.45,2.01,35,4.19,1.44,42,1.43,1.82,4.0,4.0,7.5,1.91,2.17,Arsenal_Newcastle_2008,3,3,2008-08-30,2008,31,9
26,3.2,21,2.55,2.09,3.0,2.2,2.38,3.21,0.0,2.75,3.05,3.2,1.73,2.4,3.2,2.38,2.5,2.37,3.25,2.2,3.0,3.25,3.25,1.81,2.4,2.38,2.75,2.59,3.25,2.8,2.85,3.25,3.2,2.2,3.0,2.75,2.1,34,3.28,3.0,42,2.92,1.74,3.1,3.15,2.2,2.0,1.83,Aston Villa_Liverpool_2008,3,3,2008-08-31,2008,21,10
27,4.33,22,9.0,2.0,1.4,6.5,8.5,4.18,-1.25,1.4,1.35,4.0,1.88,9.0,4.0,8.5,8.5,8.46,4.6,2.04,1.4,4.33,1.44,2.01,8.5,7.25,1.4,9.6,4.33,1.4,1.4,4.0,3.75,7.0,1.4,1.4,1.93,34,4.78,1.4,43,1.4,1.9,4.0,4.1,8.75,1.83,1.92,Chelsea_Tottenham_2008,3,3,2008-08-31,2008,30,6
28,3.2,21,3.4,1.55,2.2,3.0,3.3,3.23,0.0,2.2,2.2,3.2,2.35,3.4,3.2,3.4,3.2,3.25,3.3,1.58,2.2,3.2,2.38,1.75,3.2,3.2,2.1,3.6,3.3,2.2,2.25,3.2,3.2,2.8,2.25,2.25,2.22,34,3.32,2.2,42,2.19,1.68,3.1,3.15,3.05,2.09,2.6,Sunderland_Man City_2008,3,3,2008-08-31,2008,38,3
29,3.25,23,3.7,1.46,2.1,3.2,3.75,3.26,0.0,2.0,1.95,3.2,2.61,4.0,3.2,3.6,3.6,3.64,3.3,1.52,2.05,3.25,2.1,1.81,3.6,3.5,2.0,4.1,3.3,2.0,2.1,3.25,3.2,3.2,2.05,2.05,2.15,37,3.44,2.1,43,2.03,1.71,3.1,3.25,3.55,2.03,2.85,Wigan_Sunderland_2008,4,4,2008-09-13,2008,20,38
30,3.3,23,2.95,1.73,2.4,2.6,2.9,3.22,0.0,2.38,2.3,3.2,2.07,3.0,3.2,3.0,2.9,2.88,3.3,1.8,2.4,3.25,2.56,1.84,2.8,2.8,2.3,3.03,3.25,2.38,2.5,3.2,3.2,2.6,2.4,2.4,2.09,37,3.4,2.38,43,2.4,1.74,3.2,3.15,2.9,2.0,2.2,West Brom_West Ham_2008,4,4,2008-09-13,2008,7,5
31,3.4,23,6.0,1.86,1.6,4.8,5.5,3.53,-0.75,1.7,1.6,3.4,2.0,5.75,3.5,5.5,5.5,5.56,3.6,1.91,1.62,3.4,1.7,1.86,5.0,5.5,1.6,6.5,3.75,1.67,1.65,3.4,3.3,4.5,1.7,1.65,2.08,37,3.86,1.7,43,1.64,1.79,3.6,3.4,5.5,1.94,2.05,Newcastle_Hull_2008,4,4,2008-09-13,2008,9,34
32,3.3,23,3.9,1.41,1.9,3.6,3.8,3.31,0.0,1.91,1.95,3.25,2.74,3.75,3.25,3.75,3.6,3.76,3.45,1.5,2.0,3.4,2.08,1.85,3.75,3.75,1.9,4.1,3.5,1.91,2.0,3.25,3.2,3.5,2.0,2.0,2.11,37,3.5,2.0,43,1.97,1.76,3.2,3.25,3.55,1.98,3.05,Portsmouth_Middlesbrough_2008,4,4,2008-09-13,2008,28,25
33,3.1,24,2.5,1.98,2.6,2.6,2.5,3.04,0.0,2.8,2.8,3.05,1.82,2.6,3.0,2.63,2.6,2.57,3.1,2.06,3.0,3.0,3.0,1.65,2.5,2.4,2.8,2.8,3.0,2.62,3.1,3.0,2.88,2.5,2.9,2.85,2.58,38,3.2,2.88,43,2.81,1.54,3.0,3.1,2.4,2.35,1.96,Liverpool_Man United_2008,4,3,2008-09-13,2008,10,13
34,3.3,23,3.4,1.53,2.2,3.0,3.3,3.23,0.0,2.1,2.1,3.2,2.42,3.3,3.2,3.4,3.2,3.3,3.35,1.63,2.25,3.2,2.25,1.7,3.4,3.0,2.2,3.76,3.3,2.1,2.2,3.2,3.2,3.0,2.2,2.2,2.31,36,3.4,2.2,42,2.17,1.66,3.1,3.2,3.2,2.11,2.63,Fulham_Bolton_2008,3,4,2008-09-13,2008,16,23
35,3.4,23,1.8,3.26,3.8,1.85,1.8,3.39,0.0,4.5,4.5,3.25,1.31,1.83,3.3,1.8,1.8,1.8,3.5,3.7,4.5,3.5,5.0,1.88,1.8,1.75,4.5,1.87,3.5,4.33,4.8,3.3,3.2,1.73,4.75,4.5,2.09,37,3.68,4.5,43,4.49,1.76,3.2,3.25,1.75,1.97,1.35,Blackburn_Arsenal_2008,4,4,2008-09-13,2008,33,31
36,3.3,22,1.9,3.03,3.8,1.85,1.91,3.32,0.0,4.2,3.9,3.25,1.35,1.91,3.4,1.91,1.95,1.87,3.35,3.25,4.33,3.25,4.61,1.7,1.83,1.85,4.0,1.95,3.3,4.0,4.4,3.3,3.2,1.8,4.2,3.75,2.26,37,3.49,4.33,42,4.21,1.65,3.2,3.3,1.85,2.13,1.4,Man City_Chelsea_2008,4,4,2008-09-13,2008,3,30
37,3.3,22,2.25,2.37,3.1,2.1,2.2,3.25,0.0,3.1,3.25,3.2,1.55,2.2,3.2,2.2,2.2,2.19,3.3,2.6,3.4,3.2,3.5,1.88,2.2,2.2,3.0,2.3,3.4,3.0,3.35,3.25,3.2,2.1,3.3,3.2,2.05,36,3.4,3.4,42,3.25,1.79,3.2,3.15,2.1,1.94,1.66,Stoke_Everton_2008,4,4,2008-09-14,2008,22,8
38,3.3,22,3.55,1.47,2.0,3.3,3.6,3.3,0.0,2.0,1.95,3.25,2.57,3.6,3.25,3.6,3.6,3.54,3.45,1.59,2.1,3.25,2.2,2.17,3.6,3.75,1.9,3.75,3.3,2.1,2.1,3.25,3.2,3.0,2.05,2.05,1.83,35,3.54,2.1,42,2.04,1.98,3.2,3.15,3.7,1.75,2.65,Tottenham_Aston Villa_2008,4,4,2008-09-15,2008,6,21
39,3.3,25,3.75,1.46,1.9,3.6,3.5,3.29,0.0,2.0,1.9,3.25,2.63,3.6,3.2,3.6,3.5,3.6,3.4,1.56,2.1,3.25,2.13,1.87,3.5,3.6,1.95,3.88,3.3,2.1,2.05,3.25,3.4,3.4,2.1,2.1,2.06,38,3.47,2.1,45,2.03,1.79,3.2,3.3,3.65,1.96,2.75,Blackburn_Fulham_2008,5,4,2008-09-20,2008,33,16
40,3.6,24,1.6,4.19,4.5,1.65,1.62,3.57,0.0,6.0,5.4,3.5,1.21,1.57,3.3,1.62,1.65,1.61,3.8,4.62,6.5,3.6,6.7,1.86,1.57,1.57,5.5,1.66,3.75,6.0,6.2,3.6,3.6,1.61,6.0,6.0,2.09,38,3.86,6.0,44,5.86,1.79,3.5,3.45,1.6,1.95,1.25,Bolton_Arsenal_2008,5,5,2008-09-20,2008,23,31
41,6.0,25,17.0,1.04,1.2,11.0,15.0,5.83,0.0,1.22,1.2,5.5,10.15,15.0,5.75,13.0,12.0,13.88,6.5,1.06,1.2,6.0,1.24,2.28,11.0,12.0,1.2,21.0,6.5,1.2,1.2,5.5,6.0,15.0,1.2,1.22,1.74,38,6.83,1.22,45,1.21,2.1,5.2,5.25,12.5,1.68,14.33,Liverpool_Stoke_2008,5,5,2008-09-20,2008,10,22
