,Bb1X2,BbAvAHA,BbMxH,SBD,BSD,B365D,BbAvD,BbAvAHH,SBH,LBA,VCD,BWD,BSA,BbMxD,BWH,BbOU,WHD,VCA,GBD,GBH,WHA,BbMx>2.5,GBA,IWH,BbAvH,B365H,WHH,BbAv>2.5,BbMxAHA,LBH,SJA,IWA,LBD,VCH,IWD,SJH,B365A,BbAHh,SBA,SJD,BSH,BbMx<2.5,BbAvA,BWA,BbMxA,BbAv<2.5,BbAH,BbMxAHH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
0,39,2.78,2.09,3.25,3.4,3.3,3.3,1.4,1.9,4.33,3.25,3.4,4.33,3.4,1.85,35,3.25,4.2,3.25,2.0,4.33,2.11,3.75,1.8,1.96,2.0,1.91,2.01,3.0,1.83,3.75,4.0,3.4,2.0,3.4,2.0,4.0,0.0,3.75,3.4,1.8,1.82,4.03,4.1,4.33,1.75,20,1.45,Aston Villa_West Ham_2010,1,1,2010-08-14,2010,1,37
1,39,1.75,3.15,3.2,3.25,3.25,3.25,2.05,2.7,2.5,3.3,3.25,2.5,3.4,2.75,36,3.2,2.38,3.2,2.9,2.5,2.2,2.4,2.55,2.92,2.88,2.88,2.08,1.85,2.8,2.5,2.5,3.3,3.1,3.2,2.75,2.5,0.0,2.4,3.3,2.7,1.79,2.44,2.45,2.55,1.7,29,2.2,Blackburn_Everton_2010,1,1,2010-08-14,2010,3,14
2,38,2.36,2.3,3.2,3.2,3.3,3.26,1.55,2.1,3.2,3.3,3.25,3.25,3.42,2.15,35,3.2,3.4,3.25,2.2,3.5,2.22,3.2,2.2,2.2,2.2,2.15,2.09,2.56,2.25,3.0,3.0,3.3,2.2,3.2,2.3,3.4,0.0,3.2,3.4,2.2,1.75,3.32,3.25,3.58,1.69,24,1.6,Bolton_Fulham_2010,1,1,2010-08-14,2010,5,15
3,39,1.85,1.19,6.5,6.5,7.0,6.9,2.01,1.12,19.0,7.5,6.75,15.0,7.71,1.15,29,6.5,19.0,6.75,1.16,19.0,1.53,16.0,1.15,1.16,1.17,1.17,1.49,1.91,1.14,15.0,14.0,7.5,1.17,6.2,1.18,17.0,-2.0,17.0,6.5,1.17,2.61,17.47,16.0,21.0,2.49,19,2.06,Chelsea_West Brom_2010,1,1,2010-08-14,2010,11,36
4,38,2.38,2.31,3.2,3.25,3.3,3.25,1.55,2.2,3.5,3.25,3.2,3.4,3.4,2.15,36,3.2,3.5,3.25,2.15,3.5,2.28,3.3,2.1,2.18,2.1,2.15,2.16,2.5,2.1,3.2,3.2,3.3,2.2,3.2,2.2,3.6,0.0,3.0,3.4,2.1,1.71,3.39,3.3,3.6,1.65,24,1.64,Sunderland_Birmingham_2010,1,1,2010-08-14,2010,32,2
5,38,2.12,2.5,3.2,3.3,3.3,3.28,1.69,2.3,3.0,3.4,3.3,2.88,3.41,2.35,37,3.25,3.1,3.3,2.35,3.0,2.03,2.85,2.4,2.39,2.4,2.38,1.91,2.28,2.3,2.88,2.7,3.3,2.3,3.2,2.38,3.0,0.0,2.8,3.4,2.38,1.95,2.95,2.85,3.12,1.84,28,1.75,Tottenham_Man City_2010,1,1,2010-08-14,2010,34,21
6,40,3.19,1.9,3.25,3.4,3.5,3.45,1.32,1.8,4.5,3.4,3.4,4.5,3.64,1.78,36,3.4,4.75,3.4,1.8,5.0,2.21,4.33,1.9,1.82,1.83,1.75,2.11,3.75,1.8,4.33,3.7,3.5,1.83,3.3,1.83,4.5,0.0,4.2,3.5,1.8,1.75,4.5,4.5,5.0,1.68,20,1.4,Wigan_Blackpool_2010,1,1,2010-08-14,2010,38,4
7,39,2.2,2.4,3.2,3.25,3.25,3.22,1.63,2.25,3.2,3.25,3.15,3.0,3.3,2.25,35,3.2,3.3,3.25,2.3,3.2,2.43,3.0,2.3,2.33,2.3,2.3,2.25,2.4,2.25,3.0,2.8,3.3,2.3,3.2,2.38,3.2,0.0,2.9,3.25,2.3,1.65,3.11,3.1,3.38,1.6,25,1.7,Wolves_Stoke_2010,1,1,2010-08-14,2010,39,31
8,39,2.06,2.6,3.15,3.25,3.25,3.24,1.74,2.4,2.88,3.2,3.25,2.88,3.35,2.45,35,3.2,3.0,3.25,2.5,2.88,2.35,2.75,2.4,2.47,2.5,2.5,2.21,2.15,2.4,2.8,2.7,3.3,2.5,3.2,2.5,2.88,0.0,2.7,3.25,2.38,1.7,2.89,2.75,3.07,1.62,31,1.83,Liverpool_Arsenal_2010,1,1,2010-08-15,2010,20,0
9,40,10.02,1.26,5.5,5.5,5.5,5.63,1.03,1.2,12.0,6.0,5.5,13.0,6.19,1.22,37,6.0,15.0,5.5,1.23,13.0,1.8,12.0,1.22,1.23,1.25,1.22,1.72,12.0,1.25,12.0,11.0,5.5,1.22,5.3,1.22,15.0,0.0,12.0,6.0,1.22,2.16,13.11,12.5,16.0,2.05,19,1.05,Man United_Newcastle_2010,1,1,2010-08-16,2010,22,24
10,37,2.0,15.0,5.5,5.5,6.0,5.55,1.87,12.0,1.25,6.0,5.5,1.22,6.15,12.5,25,5.5,1.22,5.25,12.0,1.25,1.68,1.25,9.0,13.11,15.0,12.0,1.61,2.05,12.0,1.25,1.28,5.5,15.0,4.9,12.0,1.22,1.25,1.2,5.5,13.0,2.38,1.24,1.22,1.28,2.2,18,1.9,Wigan_Chelsea_2010,2,2,2010-08-21,2010,38,11
11,36,2.33,2.3,3.25,3.25,3.3,3.27,1.56,2.25,3.25,3.25,3.25,3.4,3.4,2.15,32,3.2,3.3,3.25,2.15,3.3,2.06,3.25,2.2,2.22,2.25,2.25,1.99,2.53,2.2,3.3,2.9,3.25,2.3,3.3,2.2,3.25,0.0,2.85,3.25,2.1,1.88,3.26,3.25,3.66,1.77,26,1.63,West Ham_Bolton_2010,2,2,2010-08-21,2010,37,5
12,37,2.05,2.54,3.2,3.2,3.25,3.24,1.74,2.4,2.88,3.25,3.2,2.75,3.35,2.45,31,3.1,3.0,3.2,2.45,2.9,2.2,2.8,2.4,2.46,2.5,2.5,2.11,2.25,2.5,2.75,2.7,3.2,2.4,3.2,2.5,2.88,0.0,2.7,3.3,2.5,1.76,2.87,2.75,3.12,1.69,30,1.8,West Brom_Sunderland_2010,2,2,2010-08-21,2010,36,32
13,36,2.28,2.31,3.2,3.2,3.25,3.22,1.59,2.2,3.3,3.25,3.1,3.1,3.27,2.2,28,3.2,3.3,3.2,2.2,3.1,2.52,3.2,2.3,2.25,2.2,2.3,2.27,2.45,2.2,3.2,2.8,3.3,2.3,3.2,2.25,3.4,0.0,3.0,3.25,2.25,1.7,3.27,3.3,3.7,1.59,26,1.67,Birmingham_Blackburn_2010,2,2,2010-08-21,2010,2,3
14,37,5.33,1.53,3.75,3.75,4.0,4.0,1.13,1.44,7.0,3.8,4.0,7.0,4.39,1.45,34,3.75,8.0,3.75,1.5,7.5,2.05,7.0,1.5,1.48,1.5,1.5,1.94,6.0,1.53,7.0,5.7,3.75,1.53,3.8,1.5,7.0,0.0,7.0,3.9,1.5,1.9,7.3,7.0,8.38,1.81,18,1.17,Everton_Wolves_2010,2,2,2010-08-21,2010,14,39
15,37,2.12,1.18,6.25,6.0,7.0,6.86,1.76,1.15,15.0,7.0,6.5,17.0,8.51,1.16,24,7.0,17.0,6.25,1.18,17.0,1.45,15.0,1.17,1.16,1.17,1.17,1.42,2.19,1.17,15.0,13.0,7.0,1.18,5.8,1.18,19.0,-2.0,15.0,6.5,1.18,2.89,17.04,15.5,23.0,2.69,15,1.83,Arsenal_Blackpool_2010,2,2,2010-08-21,2010,0,4
