,WHD,BbAH,VCA,BbAvAHH,IWH,IWA,WHA,BbAvD,BbAHh,BSH,BWH,BbAvAHA,B365A,GBD,SJA,GBA,PSA,BbAvA,PSH,VCD,BbMxAHH,B365H,SJD,BbMxH,BbMx<2.5,BSA,PSCA,BbMxA,B365D,LBH,VCH,PSD,PSCD,BSD,LBD,LBA,WHH,GBH,PSCH,BbMx>2.5,BbOU,BbMxD,SJH,Bb1X2,BbAvH,BbAv<2.5,IWD,BWD,BWA,BbAv>2.5,BbMxAHA,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
0,4.0,23,8.5,1.96,1.35,7.3,8.0,4.47,-1.25,1.4,1.35,1.91,8.5,4.6,9.5,9.0,8.78,8.37,1.44,4.75,2.02,1.4,4.5,1.44,2.15,8.5,8.71,9.5,4.5,1.4,1.44,4.76,4.72,4.33,4.5,8.0,1.44,1.35,1.44,1.83,33,4.89,1.36,39,1.4,2.05,4.5,4.6,9.0,1.76,1.96,Arsenal_Sunderland_2012,1,1,2012-08-18,2012,31,38
1,3.3,21,4.75,1.8,1.8,4.0,4.5,3.59,-0.5,1.83,1.8,2.09,4.5,3.5,4.5,4.4,4.8,4.44,1.82,3.75,1.83,1.8,3.6,1.85,2.01,4.33,4.75,4.8,3.6,1.8,1.83,3.81,3.75,3.5,3.5,4.5,1.85,1.8,1.84,1.95,35,3.82,1.8,39,1.8,1.92,3.4,3.5,4.4,1.89,2.14,Fulham_Norwich_2012,1,1,2012-08-18,2012,16,14
2,3.0,23,2.75,1.88,2.4,2.7,2.8,3.32,0.0,2.5,2.6,1.97,2.75,3.3,2.8,2.75,2.82,2.73,2.65,3.4,1.93,2.5,3.4,2.7,2.01,2.7,2.72,2.85,3.4,2.6,2.62,3.47,3.35,3.4,3.3,2.7,2.7,2.6,2.83,2.0,35,3.47,2.5,39,2.55,1.92,3.2,3.3,2.75,1.88,2.03,Newcastle_Tottenham_2012,1,1,2012-08-18,2012,9,6
3,3.3,22,4.0,1.75,2.1,3.1,3.8,3.37,-0.25,2.0,2.0,2.13,3.8,3.4,3.6,3.6,4.01,3.76,2.05,3.5,1.8,2.0,3.3,2.1,1.81,3.6,4.15,4.2,3.4,2.0,2.0,3.53,3.53,3.4,3.4,3.75,2.0,2.0,2.0,2.18,33,3.55,2.1,39,2.01,1.73,3.3,3.4,3.6,2.09,2.21,QPR_Swansea_2012,1,1,2012-08-18,2012,32,0
4,3.3,24,3.25,2.01,2.4,2.7,2.9,3.27,-0.25,2.3,2.4,1.86,3.1,3.2,3.0,3.1,3.26,3.03,2.4,3.3,2.07,2.38,3.2,2.45,1.76,3.1,3.22,3.26,3.25,2.4,2.4,3.37,3.3,3.3,3.3,2.88,2.4,2.4,2.47,2.28,33,3.4,2.4,39,2.36,1.67,3.2,3.2,3.1,2.18,1.91,Reading_Stoke_2012,1,1,2012-08-18,2012,36,22
5,3.3,22,1.95,1.96,3.3,2.0,2.0,3.44,0.5,4.0,4.1,1.92,1.91,3.5,1.91,1.85,1.94,1.93,4.39,3.6,2.0,4.2,3.4,4.38,1.81,1.91,1.84,2.0,3.5,3.75,4.33,3.59,3.74,3.4,3.5,1.95,3.8,4.1,4.76,2.18,33,3.61,4.0,39,4.01,1.74,3.3,3.5,1.85,2.08,1.97,West Brom_Liverpool_2012,1,1,2012-08-18,2012,7,10
6,3.2,25,3.4,1.9,2.15,3.0,3.2,3.32,-0.25,2.3,2.25,1.97,3.4,3.3,3.3,3.3,3.43,3.23,2.26,3.4,1.95,2.2,3.3,2.3,1.85,3.1,3.71,3.51,3.3,2.25,2.25,3.49,3.5,3.3,3.3,3.1,2.3,2.25,2.14,2.1,33,3.46,2.25,39,2.23,1.77,3.3,3.3,3.3,2.03,2.04,West Ham_Aston Villa_2012,1,1,2012-08-18,2012,5,21
7,6.0,24,19.0,1.85,1.17,13.0,15.0,6.78,-1.75,1.17,1.18,2.02,17.0,6.25,19.0,16.0,19.75,15.6,1.2,7.0,1.9,1.17,7.0,1.21,2.68,17.0,26.18,19.38,7.0,1.17,1.2,7.5,9.38,6.5,7.0,15.0,1.2,1.18,1.13,1.56,26,7.55,1.17,39,1.18,2.51,5.8,6.25,16.0,1.5,2.08,Man City_Southampton_2012,1,1,2012-08-19,2012,3,12
8,3.6,24,1.65,1.8,5.5,1.5,1.67,3.84,1.0,6.0,6.0,2.09,1.62,3.9,1.53,1.55,1.65,1.58,6.05,3.8,1.9,6.0,4.0,6.75,2.05,1.53,1.81,1.67,3.75,6.5,6.5,4.02,3.77,4.0,3.8,1.53,5.5,6.0,4.92,1.93,35,4.0,6.5,39,6.09,1.93,3.9,3.9,1.55,1.88,2.16,Wigan_Chelsea_2012,1,1,2012-08-19,2012,20,30
9,3.3,20,1.87,1.99,3.8,1.85,1.91,3.47,0.5,4.0,4.6,1.88,1.83,3.5,1.91,1.83,1.92,1.88,4.27,3.7,2.03,4.33,3.5,4.45,1.9,1.91,2.06,1.91,3.6,4.0,4.3,3.77,3.59,3.4,3.6,1.85,4.33,4.6,3.91,2.08,32,3.71,4.0,36,4.18,1.83,3.4,3.5,1.83,1.97,1.91,Everton_Man United_2012,1,1,2012-08-20,2012,8,13
