,Bb1X2,BbAvAHA,BbMxH,PSH,B365D,BbAvD,VCD,BbAvAHH,LBA,BWD,BbMxD,BWH,BbOU,WHD,VCA,PSCA,WHA,BbMx>2.5,IWH,BbAvH,B365H,WHH,LBH,BbAv>2.5,SJA,BbMxAHA,IWA,LBD,PSA,IWD,SJH,B365A,PSD,BbAHh,SJD,BbAH,BbMx<2.5,BbAvA,BWA,BbMxA,PSCD,BbAv<2.5,PSCH,VCH,BbMxAHH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
0,50,2.1,1.3,1.26,6.5,5.96,6.25,1.78,13.0,5.5,6.7,1.25,48,5.5,10.5,12.75,12.0,1.77,1.3,1.25,1.25,1.25,1.25,1.72,12.0,2.2,9.0,6.0,14.01,5.0,1.25,15.0,6.45,-1.5,5.75,24,2.26,12.43,12.0,16.0,5.9,2.1,1.29,1.25,1.81,Arsenal_Crystal Palace_2014,1,1,2014-08-16,2014,0,12
1,50,2.02,3.3,3.14,3.4,3.32,3.4,1.85,2.25,3.2,3.45,2.9,48,3.1,2.4,2.47,2.4,2.1,2.9,3.06,3.2,3.1,3.25,2.0,2.38,2.1,2.3,3.4,2.46,3.3,3.0,2.4,3.38,0.25,3.3,22,1.9,2.36,2.4,2.42,3.4,1.8,3.11,3.2,1.88,Leicester_Everton_2014,1,1,2014-08-16,2014,19,14
2,50,1.79,1.38,1.37,5.0,4.96,5.2,2.08,10.0,4.75,5.5,1.4,48,4.5,10.0,8.25,9.0,1.77,1.33,1.34,1.36,1.36,1.36,1.71,8.0,1.87,8.0,5.0,10.6,5.0,1.36,11.0,5.1,-1.5,5.0,25,2.3,9.32,9.0,11.03,4.81,2.13,1.45,1.36,2.18,Man United_Swansea_2014,1,1,2014-08-16,2014,22,33
3,50,2.14,2.6,2.48,3.3,3.18,3.2,1.73,3.1,3.1,3.4,2.5,46,3.0,3.12,3.59,2.9,2.52,2.3,2.47,2.5,2.6,2.4,2.36,2.88,2.25,2.9,3.25,3.22,3.3,2.5,3.1,3.26,0.0,3.25,24,1.65,3.02,2.85,3.2,3.24,1.58,2.31,2.55,1.8,QPR_Hull_2014,1,1,2014-08-16,2014,27,17
4,50,1.96,2.0,1.95,3.5,3.38,3.3,1.91,4.2,3.3,3.5,1.95,44,3.2,4.75,4.51,4.2,2.42,2.0,1.92,1.95,1.95,1.95,2.31,4.0,2.02,3.6,3.4,4.55,3.3,1.95,4.5,3.47,-0.5,3.4,23,1.67,4.27,3.9,4.8,3.34,1.6,2.01,1.95,1.95,Stoke_Aston Villa_2014,1,1,2014-08-16,2014,31,1
5,50,1.97,2.3,2.21,3.4,3.31,3.3,1.91,3.3,3.25,3.5,2.3,48,3.1,3.6,4.03,3.3,2.29,2.2,2.23,2.25,2.3,2.3,2.14,3.3,2.02,3.1,3.3,3.73,3.3,2.2,3.5,3.34,-0.25,3.4,22,1.76,3.34,3.1,3.7,3.42,1.7,2.09,2.25,1.94,West Brom_Sunderland_2014,1,1,2014-08-16,2014,36,32
6,49,2.02,4.05,3.96,3.6,3.43,3.5,1.86,2.1,3.4,3.62,3.5,47,3.3,2.05,2.03,2.05,2.08,3.1,3.74,3.8,3.75,3.6,1.98,2.05,2.1,2.2,3.4,2.06,3.3,3.6,2.05,3.55,0.5,3.4,21,1.92,2.03,2.05,2.2,3.67,1.82,3.92,4.0,1.91,West Ham_Tottenham_2014,1,1,2014-08-16,2014,37,34
7,49,1.87,1.38,1.35,5.75,5.16,5.25,2.0,9.0,4.5,5.8,1.36,41,4.5,10.0,8.75,9.0,1.66,1.35,1.34,1.33,1.36,1.36,1.6,8.5,1.94,7.6,5.0,10.3,4.8,1.36,10.0,5.48,-1.5,5.0,24,2.54,9.0,8.75,11.0,4.83,2.3,1.43,1.36,2.04,Liverpool_Southampton_2014,1,1,2014-08-17,2014,20,30
8,50,2.08,5.97,5.8,4.33,4.0,4.1,1.8,1.66,3.8,4.33,4.75,44,3.75,1.67,1.63,1.67,1.73,4.9,5.24,5.25,5.0,5.0,1.66,1.62,2.12,1.65,4.2,1.63,3.7,5.25,1.67,4.28,1.0,4.0,24,2.36,1.64,1.67,1.67,4.38,2.19,5.55,5.5,1.86,Newcastle_Man City_2014,1,1,2014-08-17,2014,24,21
9,48,2.2,11.0,9.77,5.0,4.63,4.8,1.7,1.4,4.6,5.1,7.5,46,4.2,1.4,1.4,1.4,1.95,6.8,8.72,9.0,9.0,9.0,1.85,1.4,2.35,1.4,4.8,1.41,4.6,8.0,1.4,4.81,1.5,4.5,23,2.05,1.39,1.4,1.42,5.01,1.94,9.25,10.0,1.82,Burnley_Chelsea_2014,1,1,2014-08-18,2014,8,11
10,50,1.79,1.7,1.64,4.0,3.83,4.0,2.09,5.0,3.6,4.11,1.7,48,3.4,6.0,5.99,6.0,1.91,1.7,1.64,1.65,1.67,1.66,1.84,5.5,1.87,4.7,3.75,5.98,3.6,1.62,6.0,4.13,-1.0,3.75,27,2.08,5.65,5.75,6.25,3.89,1.96,1.68,1.65,2.15,Swansea_Burnley_2014,2,2,2014-08-23,2014,33,8
11,50,2.03,1.95,1.86,3.7,3.52,3.7,1.85,4.33,3.75,3.8,1.87,48,3.2,4.5,5.63,4.5,1.99,1.95,1.86,1.85,1.91,1.85,1.89,4.5,2.08,3.7,3.5,4.62,3.35,1.83,4.75,3.76,-0.5,3.4,24,2.02,4.43,4.2,4.8,4.07,1.91,1.68,1.87,1.88,Southampton_West Brom_2014,2,2,2014-08-23,2014,30,36
12,50,1.93,2.82,2.72,3.4,3.3,3.4,1.93,2.7,3.25,3.5,2.75,48,3.1,2.8,2.82,2.7,1.94,2.75,2.71,2.8,2.7,2.75,1.83,2.63,2.0,2.4,3.25,2.76,3.3,2.63,2.7,3.45,0.0,3.25,24,2.08,2.65,2.7,2.78,3.48,1.97,2.66,2.7,1.98,Everton_Arsenal_2014,2,2,2014-08-23,2014,14,0
13,51,1.8,1.24,1.21,7.5,6.79,7.0,2.06,13.0,6.25,7.8,1.25,42,5.5,17.0,18.26,15.0,1.57,1.22,1.2,1.2,1.22,1.22,1.52,13.0,1.88,12.0,6.0,17.7,5.5,1.2,17.0,7.28,-2.0,6.5,28,2.64,14.59,12.5,18.48,7.56,2.46,1.2,1.22,2.13,Chelsea_Leicester_2014,2,2,2014-08-23,2014,11,19
14,51,2.09,2.65,2.56,3.4,3.27,3.3,1.78,2.87,3.25,3.45,2.6,49,3.25,3.1,2.89,2.9,2.2,2.3,2.5,2.5,2.45,2.5,2.1,2.88,2.16,2.9,3.3,3.01,3.3,2.5,3.0,3.36,0.0,3.25,29,1.8,2.92,2.9,3.11,3.33,1.72,2.67,2.5,1.84,Aston Villa_Newcastle_2014,2,2,2014-08-23,2014,1,24
15,51,1.81,2.52,2.44,3.3,3.18,3.2,2.07,3.0,3.0,3.31,2.5,41,3.2,3.2,2.94,2.8,2.62,2.3,2.44,2.5,2.5,2.5,2.45,3.0,1.86,2.9,3.1,3.3,3.3,2.38,3.1,3.25,-0.25,3.2,26,1.61,3.07,2.95,3.35,3.42,1.54,2.62,2.5,2.12,Crystal Palace_West Ham_2014,2,2,2014-08-23,2014,12,37
16,51,2.22,2.6,2.48,3.25,3.16,3.1,1.68,3.2,3.2,3.3,2.55,42,3.2,3.3,3.28,2.8,2.7,2.3,2.44,2.5,2.5,2.4,2.51,3.0,2.31,2.9,3.2,3.31,3.3,2.38,3.2,3.18,0.0,3.2,25,1.56,3.1,2.95,3.31,3.24,1.5,2.46,2.5,1.71,Hull_Stoke_2014,2,2,2014-08-24,2014,17,31
17,50,1.99,5.25,4.95,4.0,3.68,3.9,1.89,1.8,3.75,4.0,4.4,48,3.5,1.75,1.64,1.8,1.95,4.9,4.8,5.0,4.5,4.5,1.86,1.73,2.05,1.65,3.6,1.79,3.7,4.8,1.75,3.93,0.75,3.6,24,2.04,1.76,1.83,1.81,4.35,1.94,5.54,5.0,1.94,Sunderland_Man United_2014,2,2,2014-08-24,2014,32,22
18,50,2.07,1.51,1.49,4.75,4.37,4.4,1.81,7.5,4.25,4.77,1.48,49,4.0,7.5,6.18,7.0,1.83,1.45,1.46,1.45,1.5,1.44,1.76,6.5,2.2,7.0,4.33,7.5,4.0,1.5,8.0,4.64,-1.0,4.33,28,2.18,7.21,7.75,8.2,4.2,2.03,1.61,1.5,1.86,Tottenham_QPR_2014,2,2,2014-08-24,2014,34,27
19,48,1.83,1.88,1.83,4.0,3.72,4.0,2.06,4.2,3.9,4.1,1.87,45,3.4,4.3,4.35,4.33,1.7,1.85,1.83,1.85,1.85,1.85,1.61,4.33,1.88,4.0,3.75,4.43,3.45,1.83,4.33,4.05,-0.75,3.5,22,2.52,4.26,4.0,4.5,4.01,2.29,1.85,1.85,2.1,Man City_Liverpool_2014,2,2,2014-08-25,2014,21,20
20,50,2.04,1.91,1.88,3.6,3.51,3.6,1.84,4.5,3.4,3.7,1.85,46,3.1,4.5,4.16,4.5,2.05,1.8,1.85,1.85,1.91,1.85,1.95,4.5,2.08,4.2,3.6,4.67,3.5,1.83,4.75,3.66,-0.5,3.5,23,1.92,4.47,4.2,4.9,3.5,1.83,2.02,1.91,1.88,Swansea_West Brom_2014,3,3,2014-08-30,2014,33,36
21,50,1.89,2.9,2.8,3.4,3.26,3.3,1.96,2.75,3.2,3.5,2.6,46,2.8,2.75,2.36,2.75,2.14,2.5,2.73,2.8,2.9,2.75,2.04,2.6,1.94,2.65,3.25,2.69,3.3,2.75,2.7,3.43,0.0,3.25,27,1.87,2.65,2.7,2.76,3.31,1.77,3.35,2.8,2.03,West Ham_Southampton_2014,3,3,2014-08-30,2014,37,30
22,49,1.82,2.51,2.43,3.25,3.17,3.12,2.06,3.0,3.2,3.3,2.45,40,2.9,3.4,3.05,3.1,2.53,2.5,2.41,2.4,2.5,2.5,2.37,3.13,1.85,2.65,3.25,3.35,3.3,2.38,3.3,3.23,-0.25,3.2,24,1.67,3.13,2.85,3.4,3.28,1.57,2.56,2.45,2.11,QPR_Sunderland_2014,3,3,2014-08-30,2014,27,32
23,50,1.95,1.77,1.74,3.75,3.6,3.6,1.93,5.0,3.5,3.8,1.75,46,3.2,5.75,5.91,5.5,2.28,1.75,1.72,1.75,1.75,1.75,2.18,5.25,2.0,4.5,3.6,5.58,3.5,1.73,5.25,3.78,-0.75,3.6,22,1.74,5.22,4.75,5.8,3.91,1.67,1.68,1.75,1.97,Newcastle_Crystal Palace_2014,3,3,2014-08-30,2014,24,12
24,49,1.82,1.21,1.2,8.0,7.04,7.0,2.06,17.0,6.5,8.0,1.18,37,5.5,20.0,14.99,21.0,1.6,1.2,1.19,1.18,1.2,1.18,1.54,12.0,1.92,13.0,7.5,17.95,5.8,1.2,18.0,7.8,-2.0,7.0,25,2.58,15.58,14.5,21.0,7.14,2.44,1.23,1.2,2.12,Man City_Stoke_2014,3,3,2014-08-30,2014,21,31
25,50,1.86,3.84,3.79,3.3,3.31,3.4,2.01,2.2,3.3,3.5,3.5,47,2.88,2.15,1.98,2.25,2.19,3.6,3.56,3.75,3.6,3.5,2.07,2.1,1.9,2.0,3.4,2.19,3.3,3.5,2.2,3.33,0.25,3.4,22,1.81,2.15,2.2,2.22,3.49,1.75,4.36,3.7,2.09,Everton_Chelsea_2014,3,3,2014-08-30,2014,14,11
26,50,2.08,6.54,6.11,4.2,3.89,4.0,1.79,1.61,4.0,4.27,5.75,47,3.4,1.62,1.57,1.62,2.0,5.6,5.97,6.0,6.5,5.5,1.91,1.62,2.2,1.55,4.0,1.62,3.9,5.75,1.62,4.18,1.0,3.8,28,1.95,1.6,1.62,1.67,4.23,1.89,6.84,6.25,1.84,Burnley_Man United_2014,3,3,2014-08-30,2014,8,22
27,50,1.93,2.38,2.33,3.3,3.15,3.1,1.94,3.6,3.1,3.3,2.35,40,2.88,3.7,3.24,3.4,2.89,2.1,2.25,2.3,2.38,2.25,2.61,3.5,1.96,3.3,3.2,3.63,3.3,2.2,3.5,3.16,-0.25,3.2,22,1.53,3.47,3.1,3.75,3.17,1.48,2.53,2.3,1.98,Aston Villa_Hull_2014,3,3,2014-08-31,2014,1,17
28,50,2.08,4.75,4.54,3.75,3.6,3.75,1.8,1.83,3.4,3.9,4.33,47,3.0,1.85,1.93,1.91,1.9,4.5,4.48,4.75,4.8,4.5,1.81,1.83,2.15,1.75,3.75,1.87,3.5,4.33,1.83,3.8,0.75,3.5,22,2.1,1.82,1.83,1.89,3.67,1.98,4.37,4.6,1.83,Leicester_Arsenal_2014,3,3,2014-08-31,2014,19,0
29,49,1.94,2.74,2.69,3.5,3.38,3.5,1.92,2.7,3.2,3.6,2.7,39,3.0,2.7,2.59,2.8,1.72,2.6,2.63,2.7,2.7,2.7,1.64,2.63,2.01,2.6,3.4,2.77,3.2,2.6,2.7,3.48,0.0,3.4,26,2.34,2.68,2.7,2.8,3.62,2.22,2.78,2.7,1.97,Tottenham_Liverpool_2014,3,3,2014-08-31,2014,34,20
30,46,1.85,3.74,3.57,3.5,3.37,3.5,2.02,2.1,3.2,3.5,3.3,45,3.2,2.15,2.15,2.2,1.96,3.2,3.45,3.5,3.4,3.6,1.88,2.1,1.9,2.2,3.4,2.21,3.2,3.4,2.2,3.48,0.25,3.4,24,2.0,2.15,2.2,2.21,3.54,1.91,3.64,3.6,2.06,West Brom_Everton_2014,4,4,2014-09-13,2014,36,14
31,46,2.1,3.84,3.71,3.5,3.37,3.4,1.78,2.1,3.2,3.55,3.4,45,3.3,2.15,2.14,2.15,2.09,3.6,3.59,3.6,3.4,3.6,1.97,2.1,2.15,2.0,3.5,2.15,3.3,3.5,2.15,3.5,0.5,3.4,23,1.9,2.11,2.15,2.2,3.59,1.82,3.6,3.75,1.82,Sunderland_Tottenham_2014,4,4,2014-09-13,2014,32,34
32,47,1.86,1.9,1.79,3.75,3.6,3.6,2.01,4.5,3.3,3.8,1.83,45,3.2,5.0,5.37,5.0,2.1,1.9,1.78,1.8,1.83,1.83,2.02,4.8,1.9,3.8,3.6,5.06,3.45,1.73,5.0,3.78,-0.75,3.6,24,1.87,4.78,4.5,5.1,3.83,1.78,1.75,1.83,2.06,Southampton_Newcastle_2014,4,4,2014-09-13,2014,30,24
33,47,2.1,2.16,2.1,3.4,3.24,3.25,1.78,4.0,3.4,3.4,2.15,42,3.1,4.0,3.58,3.6,2.45,2.0,2.09,2.1,2.15,2.05,2.31,3.75,2.17,3.6,3.3,4.07,3.3,2.1,4.0,3.35,-0.25,3.2,23,1.66,3.8,3.25,4.07,3.55,1.6,2.18,2.15,1.83,Stoke_Leicester_2014,4,4,2014-09-13,2014,31,19
34,46,1.99,2.3,2.23,3.3,3.24,3.2,1.88,3.8,3.2,3.35,2.25,43,3.1,3.7,3.64,3.4,2.42,2.0,2.19,2.25,2.25,2.1,2.29,3.4,2.05,3.6,3.3,3.66,3.3,2.2,3.6,3.35,-0.25,3.25,24,1.68,3.5,3.2,3.8,3.38,1.61,2.22,2.25,1.93,Crystal Palace_Burnley_2014,4,4,2014-09-13,2014,12,8
35,46,1.9,1.33,1.32,5.75,5.41,5.5,1.96,12.0,5.0,6.0,1.3,44,5.0,12.0,12.51,11.0,1.82,1.3,1.3,1.3,1.3,1.28,1.73,9.5,1.98,9.0,5.5,12.04,5.0,1.3,12.0,5.62,-1.5,5.5,28,2.18,10.78,9.5,12.5,5.74,2.09,1.31,1.3,2.03,Chelsea_Swansea_2014,4,4,2014-09-13,2014,11,33
