,Bb1X2,BbAvAHA,BbMxH,PSH,B365D,BbAvD,VCD,BbAvAHH,LBA,BWD,BbMxD,BWH,BbOU,WHD,VCA,PSCA,WHA,BbMx>2.5,IWH,BbAvH,B365H,WHH,LBH,BbAv>2.5,BbMxAHA,IWA,LBD,PSA,IWD,B365A,PSD,BbAHh,BbAH,BbMx<2.5,BbAvA,BWA,BbMxA,PSCD,BbAv<2.5,PSCH,VCH,BbMxAHH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
0,55,1.81,2.55,2.47,3.3,3.21,3.2,2.06,3.1,3.1,3.35,2.45,40,3.2,3.25,2.89,2.9,2.4,2.5,2.43,2.4,2.5,2.45,2.3,1.86,2.65,3.25,3.19,3.3,3.25,3.32,-0.25,32,1.68,3.1,2.95,3.3,3.16,1.61,2.79,2.5,2.13,Burnley_Swansea_2016,1,1,2016-08-13,2016,8,33
1,56,1.85,2.1,2.06,3.3,3.23,3.3,2.0,4.33,3.2,3.4,2.0,38,3.1,4.4,3.86,4.0,2.68,2.1,2.01,2.0,2.05,2.0,2.5,1.9,3.3,3.25,4.32,3.3,4.5,3.29,-0.5,33,1.6,4.16,3.9,4.5,3.15,1.52,2.25,2.0,2.07,Crystal Palace_West Brom_2016,1,1,2016-08-13,2016,12,36
2,55,2.0,3.3,3.25,3.4,3.32,3.4,1.85,2.4,3.2,3.45,2.95,41,3.1,2.38,2.16,2.4,2.12,2.65,3.12,3.2,3.1,3.1,2.05,2.09,2.5,3.4,2.37,3.3,2.4,3.43,0.25,32,1.87,2.36,2.4,2.5,3.54,1.77,3.64,3.25,1.91,Everton_Tottenham_2016,1,1,2016-08-13,2016,14,34
3,55,1.67,4.5,4.43,3.6,3.43,3.5,2.26,1.91,3.4,3.6,4.33,40,3.25,1.95,1.92,1.95,2.3,3.3,4.17,4.5,4.2,4.5,2.19,2.03,2.1,3.5,1.95,3.3,1.91,3.55,0.25,31,1.74,1.95,1.9,2.33,3.5,1.67,4.68,4.4,2.35,Hull_Leicester_2016,1,1,2016-08-13,2016,17,19
4,56,2.14,1.3,1.27,6.5,6.11,6.5,1.73,13.0,6.0,6.8,1.22,39,5.5,15.0,14.5,13.0,1.56,1.25,1.25,1.25,1.25,1.25,1.53,2.2,10.3,6.5,13.15,5.5,15.0,6.48,-1.5,34,2.67,12.55,11.5,15.0,6.5,2.48,1.25,1.25,1.81,Man City_Sunderland_2016,1,1,2016-08-13,2016,21,32
5,56,1.92,2.4,2.33,3.2,3.16,3.2,1.93,3.4,3.1,3.3,2.25,38,3.1,3.4,3.7,3.1,2.61,2.3,2.31,2.38,2.4,2.3,2.46,1.97,2.9,3.2,3.53,3.3,3.4,3.24,-0.25,32,1.57,3.38,3.25,3.65,3.38,1.53,2.2,2.38,1.99,Middlesbrough_Stoke_2016,1,1,2016-08-13,2016,23,31
6,56,1.8,1.88,1.88,3.75,3.56,3.6,2.07,5.0,3.4,3.8,1.8,42,3.4,5.0,4.91,4.5,2.13,1.8,1.82,1.8,1.83,1.8,2.06,1.89,4.2,3.6,4.64,3.5,5.0,3.68,-0.75,33,1.83,4.62,4.5,5.0,3.83,1.75,1.8,1.83,2.16,Southampton_Watford_2016,1,1,2016-08-13,2016,30,35
7,55,1.64,2.5,2.41,3.5,3.42,3.5,2.31,3.1,3.3,3.55,2.35,42,3.1,3.1,2.68,3.0,1.98,2.3,2.36,2.4,2.5,2.38,1.81,1.81,2.9,3.4,3.1,3.3,3.1,3.53,-0.5,31,2.09,3.04,2.9,3.2,3.44,1.99,2.8,2.4,2.41,Arsenal_Liverpool_2016,1,1,2016-08-14,2016,0,20
8,55,2.11,5.0,4.7,3.6,3.51,3.6,1.76,1.8,3.5,3.75,4.6,42,3.4,1.87,1.78,1.85,2.11,4.5,4.5,4.75,4.5,4.8,2.05,2.17,1.75,3.6,1.88,3.5,1.85,3.62,0.75,33,1.87,1.86,1.75,1.95,3.65,1.76,5.4,4.75,1.8,Bournemouth_Man United_2016,1,1,2016-08-14,2016,6,22
9,52,1.76,1.71,1.68,4.0,3.97,4.1,2.1,6.0,3.75,4.25,1.6,40,3.6,5.75,7.45,5.5,1.97,1.65,1.64,1.65,1.67,1.62,1.8,1.8,5.1,4.0,5.48,3.6,6.0,4.16,-1.0,33,2.09,5.46,5.5,6.0,4.38,2.01,1.52,1.65,2.2,Chelsea_West Ham_2016,1,1,2016-08-15,2016,11,37
