,Bb1X2,BbMxH,AvgCAHA,MaxC<2.5,MaxCAHH,Avg>2.5,IWCA,SOH,BbAv>2.5,BbMxAHA,VCCH,SOA,IWA,VCH,LBAHH,IdHomeTeam,Max>2.5,B365CD,IdAwayTeam,Avg<2.5,B365<2.5,SJD,BSH,MaxAHA,Time,B365CH,BbAvA,PSCD,BbAv<2.5,Date,MaxD,BWCD,PAHH,BbAvAHA,MaxC>2.5,BSD,SBD,WHCA,B365D,BbAvD,BWCA,BWH,AvgCD,LBAHA,VCA,GBD,PSCA,AvgCA,B365AH,MaxCH,B365CAHA,MaxCD,AvgA,LBD,IWD,GB<2.5,PCAHA,AvgC>2.5,GBAHH,nWeekHome,AHh,AvgAHA,PAHA,PSH,B365C<2.5,LBA,BSA,PCAHH,PC>2.5,WHCD,WHD,GBH,MaxCAHA,WHA,IWH,Max<2.5,B365H,MaxCA,WHH,VCCD,PC<2.5,P<2.5,AvgCAHH,PSD,MaxA,BbMx<2.5,idGame,GBAHA,IWCD,LBAH,AHCh,BbMxA,SOD,B365>2.5,AvgH,nWeekAway,BbAvAHH,SBH,VCD,BWD,IWCH,GBAH,BbMxD,BbOU,B365AHA,BbMx>2.5,GBA,BWCH,B365CA,BbAvH,P>2.5,WHCH,AvgCH,LBH,B365C>2.5,SJA,GB>2.5,PSA,AvgC<2.5,SJH,B365A,B365AHH,BbAHh,AvgD,SBA,VCCA,MaxAHH,year,B365CAHH,BWA,MaxH,AvgAHH,PSCH,BbAH,BbMxAHH
0,,,,,,,,1.4,,,,7.5,7.0,,1.9,0,,,14,,2.1,,,,,,,,,2003-08-16,,,,,,,3.75,,3.8,,,,,1.95,,4.0,,,-1.25,,,,,4.0,4.0,1.95,,,1.9,1,,,,,,8.0,,,,,4.5,1.44,,8.0,1.35,,1.4,,1.28,,,,,,,,Arsenal_Everton_2003,1.9,,-1.25,,,3.75,1.7,,1,,1.4,,,,-1.25,,,1.925,,7.0,,,,,,,1.3330000000000002,,,1.75,,,,8.0,1.975,,,7.5,,,2003,,,,,,,
1,,,,,,,,2.25,,,,2.75,2.5,,1.75,2,,,34,,1.85,,,,,,,,,2003-08-16,,,,,,,3.2,,3.25,,,,,2.1,,3.25,,,-0.25,,,,,3.2,3.0,1.85,,,2.05,1,,,,,,2.8,,,,,3.2,2.35,,2.8,2.5,,2.375,,2.2,,,,,,,,Birmingham_Tottenham_2003,1.75,,0.0,,,3.25,1.95,,1,,2.25,,,,-0.25,,,1.8,,2.8,,,,,,,2.2,,,1.85,,,,2.75,2.1,,,2.8,,,2003,,,,,,,
2,,,,,,,,1.57,,,,5.5,4.2,,2.0,3,,,39,,1.9,,,,,,,,,2003-08-16,,,,,,,3.4,,3.4,,,,,1.85,,3.4,,,-0.75,,,,,3.5,3.2,1.85,,,1.95,1,,,,,,4.5,,,,,3.5,1.68,,5.0,1.7,,1.615,,1.57,,,,,,,,Blackburn_Wolves_2003,1.85,,-0.75,,,3.4,1.9,,1,,1.57,,,,-0.75,,,1.95,,5.0,,,,,,,1.615,,,1.85,,,,5.5,1.95,,,5.5,,,2003,,,,,,,
3,,,,,,,,2.2,,,,2.8,3.0,,1.85,15,,,23,,1.7,,,,,,,,,2003-08-16,,,,,,,3.2,,3.25,,,,,2.0,,3.25,,,-0.25,,,,,3.2,3.1,1.75,,,1.8,1,,,,,,2.6,,,,,3.2,2.4,,2.62,2.1,,2.3,,2.3,,,,,,,,Fulham_Middlesbrough_2003,2.0,,0.0,,,3.25,2.1,,1,,2.2,,,,0.0,,,1.8,,2.7,,,,,,,2.375,,,1.95,,,,2.8,2.1,,,2.87,,,2003,,,,,,,
4,,,,,,,,2.38,,,,2.63,2.8,,1.85,19,,,30,,1.8,,,,,,,,,2003-08-16,,,,,,,3.2,,3.2,,,,,2.0,,3.25,,,0.0,,,,,3.2,3.1,1.75,,,1.85,1,,,,,,2.5,,,,,3.2,2.5,,2.62,2.2,,2.5,,2.3,,,,,,,,Leicester_Southampton_2003,1.95,,0.0,,,3.2,2.0,,1,,2.4,,,,0.0,,,2.05,,2.6,,,,,,,2.5,,,1.95,,,,2.6,1.85,,,2.6,,,2003,,,,,,,
5,,,,,,,,1.25,,,,8.5,8.0,,1.95,22,,,5,,2.2,,,,,,,,,2003-08-16,,,,,,,5.0,,4.5,,,,,1.9,,4.8,,,-1.75,,,,,4.5,4.2,2.1,,,1.95,1,,,,,,10.0,,,,,5.0,1.3,,9.5,1.3,,1.286,,1.22,,,,,,,,Man United_Bolton_2003,1.85,,-1.75,,,5.0,1.66,,1,,1.25,,,,-1.75,,,1.85,,9.0,,,,,,,1.25,,,1.65,,,,10.0,2.05,,,9.0,,,2003,,,,,,,
6,,,,,,,,2.38,,,,2.8,2.6,,2.1,26,,,1,,1.9,,,,,,,,,2003-08-16,,,,,,,3.2,,3.25,,,,,1.75,,3.25,,,-0.25,,,,,3.2,3.0,1.8,,,2.05,1,,,,,,2.6,,,,,3.2,2.4,,2.62,2.4,,2.375,,2.3,,,,,,,,Portsmouth_Aston Villa_2003,1.75,,-0.25,,,3.3,1.9,,1,,2.25,,,,-0.25,,,1.8,,2.7,,,,,,,2.375,,,1.9,,,,2.75,2.1,,,2.8,,,2003,,,,,,,
7,,,,,,,,2.25,,,,2.75,3.0,,2.05,10,,,21,,1.95,,,,,,,,,2003-08-17,,,,,,,3.2,,3.4,,,,,1.8,,3.25,,,0.0,,,,,3.2,3.1,1.8,,,2.05,1,,,,,,2.75,,,,,3.3,2.38,,2.5,2.1,,2.25,,2.37,,,,,,,,Charlton_Man City_2003,1.75,,-0.25,,,3.25,1.85,,1,,2.3,,,,-0.25,,,2.1,,2.75,,,,,,,2.25,,,1.9,,,,2.75,1.8,,,2.75,,,2003,,,,,,,
8,,,,,,,,2.9,,,,2.25,2.3,,1.8,18,,,24,,2.0,,,,,,,,,2003-08-17,,,,,,,3.2,,3.25,,,,,2.05,,3.25,,,0.25,,,,,3.2,3.0,1.9,,,1.8,1,,,,,,2.2,,,,,3.2,2.85,,2.1,2.7,,2.75,,3.0,,,,,,,,Leeds_Newcastle_2003,2.0,,0.25,,,3.4,1.8,,1,,2.62,,,,0.25,,,2.075,,2.3,,,,,,,2.8,,,1.8,,,,2.375,1.825,,,2.37,,,2003,,,,,,,
9,,,,,,,,2.25,,,,3.0,2.7,,2.05,20,,,11,,1.9,,,,,,,,,2003-08-17,,,,,,,3.2,,3.25,,,,,1.8,,3.25,,,-0.25,,,,,3.2,3.0,1.8,,,2.05,1,,,,,,2.75,,,,,3.0,2.25,,2.8,2.3,,2.25,,2.3,,,,,,,,Liverpool_Chelsea_2003,1.85,,-0.25,,,3.3,1.9,,1,,2.2,,,,-0.25,,,1.8,,3.25,,,,,,,2.25,,,1.9,,,,2.875,2.1,,,2.87,,,2003,,,,,,,
