,GBAHA,WHD,AvgCD,AvgAHH,GBAH,PC>2.5,IWA,WHA,BbAvD,BSH,Max<2.5,BbAvAHA,Max>2.5,SOA,BbAvA,WHCH,PSCA,BbMxA,Avg>2.5,AvgCAHA,IWCA,VCCH,B365AH,B365CH,PC<2.5,SOD,Time,AvgH,AvgAHA,year,BWD,PAHA,SOH,B365CA,BbAv>2.5,LBAH,AvgC<2.5,MaxAHA,VCA,BbAvAHH,IdAwayTeam,IWH,MaxAHH,B365<2.5,B365C<2.5,B365A,GBD,SJA,GBA,PSA,MaxCA,AHh,BbMxH,BbMx<2.5,AvgD,MaxH,SBA,B365CD,LBH,P<2.5,PSCD,MaxCH,BSD,LBA,LBD,PSCH,B365>2.5,BbAvH,BbAv<2.5,nWeekAway,GB>2.5,SBH,MaxCAHA,AvgCAHH,LBAHH,MaxA,idGame,VCCD,MaxC<2.5,Date,SBD,IdHomeTeam,IWCH,VCCA,BbMxAHH,B365H,B365C>2.5,MaxC>2.5,LBAHA,MaxCAHH,B365D,P>2.5,PCAHH,B365CAHA,WHCD,MaxCD,BWCH,GB<2.5,WHH,BbMx>2.5,B365CAHH,BbMxD,SJH,IWCD,IWD,BWA,AvgC>2.5,MaxD,BbAH,AvgCH,nWeekHome,PCAHA,Avg<2.5,AHCh,BbAHh,BWH,PSH,VCD,SJD,BSA,BWCD,AvgCA,PAHH,PSD,VCH,GBAHH,GBH,BbOU,B365AHH,WHCA,Bb1X2,BWCA,AvgA,B365AHA,BbMxAHA
0,,5.5,,,,,11.0,12.0,5.6,1.22,,1.97,,,13.52,,,17.0,,,,,,,,,,,,2008,5.5,,,,1.65,,,,13.0,1.81,7,1.2,,,,15.0,5.5,12.0,13.0,,,,1.26,2.25,,,12.0,,1.2,,,,5.0,11.0,5.0,,,1.22,2.14,1,,1.2,,,,,Arsenal_West Brom_2008,,,2008-08-16,5.5,31,,,1.88,1.2,,,,,6.5,,,,,,,,1.17,1.71,,6.25,1.2,,5.2,10.0,,,26,,1,,,,-1.5,1.22,,6.0,5.5,13.0,,,,,1.25,,1.22,37,,,40,,,,2.12
1,,3.1,,,,,4.2,4.0,3.35,1.8,,3.27,,,4.54,,,5.3,,,,,,,,,,,,2008,3.3,,,,2.16,,,,4.8,1.31,22,1.75,,,,4.5,3.25,4.33,4.5,,,,1.87,1.7,,,4.2,,1.73,,,,3.25,4.0,3.4,,,1.81,1.64,1,,1.8,,,,,Bolton_Stoke_2008,,,2008-08-16,3.25,23,,,1.35,1.83,,,,,3.5,,,,,,,,1.8,2.33,,3.51,1.8,,3.3,4.4,,,27,,1,,,,0.0,1.75,,3.4,3.2,4.33,,,,,1.85,,1.83,37,,,44,,,,3.56
2,,3.1,,,,,3.3,3.5,3.25,2.0,,2.76,,,3.86,,,4.21,,,,,,,,,,,,2008,3.25,,,,2.17,,,,4.0,1.43,33,2.0,,,,4.0,3.25,3.4,3.75,,,,2.06,1.7,,,3.75,,1.8,,,,3.25,4.0,3.2,,,1.98,1.63,1,,1.9,,,,,Everton_Blackburn_2008,,,2008-08-16,3.25,8,,,1.73,2.0,,,,,3.3,,,,,,,,1.95,2.34,,3.39,2.0,,3.2,4.0,,,28,,1,,,,0.0,1.85,,3.3,3.25,3.5,,,,,2.05,,2.0,37,,,44,,,,3.05
3,,2.9,,,,,2.6,2.62,3.23,2.6,,1.94,,,2.68,,,2.89,,,,,,,,,,,,2008,3.15,,,,2.15,,,,2.8,1.85,16,2.4,,,,2.8,3.25,2.75,2.6,,,,2.7,1.69,,,2.6,,2.4,,,,3.25,2.5,3.25,,,2.56,1.64,1,,2.5,,,,,Hull_Fulham_2008,,,2008-08-16,3.2,34,,,1.91,2.6,,,,,3.2,,,,,,,,2.5,2.32,,3.38,2.38,,3.2,2.65,,,26,,1,,,,0.0,2.45,,3.4,3.2,2.5,,,,,2.6,,2.6,37,,,44,,,,2.07
4,,3.2,,,,,2.2,2.15,3.31,2.8,,1.58,,,2.2,,,2.3,,,,,,,,,,,,2008,3.2,,,,1.81,,,,2.3,2.3,6,2.9,,,,2.25,3.25,2.2,2.3,,,,3.57,2.12,,,2.3,,2.8,,,,3.25,2.2,3.2,,,3.19,1.92,1,,2.8,,,,,Middlesbrough_Tottenham_2008,,,2008-08-16,3.2,25,,,2.45,3.2,,,,,3.4,,,,,,,,2.9,1.9,,3.55,2.88,,3.2,2.3,,,27,,1,,,,0.0,2.8,,3.4,3.4,2.3,,,,,3.2,,3.0,37,,,44,,,,1.65
5,,3.3,,,,,1.65,1.57,3.5,4.5,,1.94,,,1.68,,,1.76,,,,,,,,,,,,2008,3.35,,,,2.08,,,,1.65,1.93,10,4.5,,,,1.67,3.4,1.73,1.7,,,,5.91,1.76,,,1.65,,4.5,,,,3.4,1.67,3.3,,,5.24,1.69,1,,5.0,,,,,Sunderland_Liverpool_2008,,,2008-08-16,3.4,38,,,1.97,5.5,,,,,3.6,,,,,,,,5.5,2.22,,3.75,4.33,,3.5,1.67,,,26,,1,,,,0.75,5.0,,3.8,3.4,1.73,,,,,5.5,,5.0,37,,,43,,,,1.99
6,,3.2,,,,,3.8,3.75,3.27,1.91,,2.82,,,3.98,,,4.4,,,,,,,,,,,,2008,3.2,,,,2.1,,,,4.35,1.39,20,1.8,,,,4.2,3.25,3.75,4.0,,,,2.09,1.75,,,3.75,,1.8,,,,3.25,4.0,3.2,,,1.94,1.68,1,,1.9,,,,,West Ham_Wigan_2008,,,2008-08-16,3.25,5,,,1.43,1.91,,,,,3.4,,,,,,,,1.83,2.22,,3.4,1.91,,3.3,3.8,,,27,,1,,,,0.0,1.9,,3.5,3.25,3.8,,,,,1.9,,1.91,37,,,44,,,,3.2
7,,3.2,,,,,3.3,3.5,3.32,1.91,,2.95,,,4.36,,,5.05,,,,,,,,,,,,2008,3.2,,,,2.12,,,,4.35,1.36,3,2.0,,,,4.33,3.25,3.75,4.0,,,,2.0,1.73,,,3.75,,1.83,,,,3.3,3.75,3.2,,,1.84,1.66,1,,1.9,,,,,Aston Villa_Man City_2008,,,2008-08-17,3.25,21,,,1.4,1.91,,,,,3.4,,,,,,,,1.91,2.33,,3.55,1.91,,3.2,3.6,,,25,,1,,,,0.0,1.95,,3.5,3.25,3.75,,,,,1.9,,1.91,34,,,42,,,,3.25
8,,4.2,,,,,8.5,8.5,4.69,1.33,,1.75,,,10.05,,,12.0,,,,,,,,,,,,2008,4.75,,,,1.9,,,,11.0,2.1,28,1.3,,,,10.0,4.75,10.0,9.0,,,,1.36,1.93,,,9.0,,1.29,,,,4.2,9.0,4.33,,,1.32,1.83,1,,1.3,,,,,Chelsea_Portsmouth_2008,,,2008-08-17,4.5,30,,,2.19,1.33,,,,,5.0,,,,,,,,1.3,2.01,,5.2,1.25,,4.4,8.25,,,25,,1,,,,-1.5,1.3,,5.0,5.0,10.0,,,,,1.33,,1.33,36,,,40,,,,1.8
9,,4.5,,,,,8.5,10.0,5.03,1.29,,1.83,,,11.0,,,13.0,,,,,,,,,,,,2008,4.75,,,,1.72,,,,12.0,2.02,9,1.3,,,,11.0,4.75,10.0,10.0,,,,1.32,2.2,,,10.0,,1.25,,,,4.5,10.0,4.5,,,1.28,2.03,1,,1.25,,,,,Man United_Newcastle_2008,,,2008-08-17,5.0,13,,,2.08,1.29,,,,,5.5,,,,,,,,1.25,1.83,,5.5,1.25,,4.4,8.25,,,25,,1,,,,-1.5,1.3,,5.5,5.0,11.0,,,,,1.28,,1.3,36,,,40,,,,1.91
10,,3.3,,,,,2.3,2.62,3.23,2.7,,1.77,,,2.48,,,2.62,,,,,,,,,,,,2008,3.15,,,,2.14,,,,2.5,2.03,8,2.8,,,,2.5,3.2,2.5,2.5,,,,3.05,1.74,,,2.5,,2.8,,,,3.25,2.5,3.3,,,2.8,1.65,2,,2.6,,,,,West Brom_Everton_2008,,,2008-08-23,3.2,7,,,2.16,2.88,,,,,3.25,,,,,,,,2.62,2.25,,3.36,2.88,,3.1,2.45,,,24,,2,,,,0.0,2.65,,3.3,3.2,2.5,,,,,2.9,,2.75,37,,,43,,,,1.83
11,,4.2,,,,,5.5,7.5,3.85,1.5,,2.01,,,7.01,,,7.8,,,,,,,,,,,,2008,4.0,,,,1.75,,,,7.0,1.86,38,1.5,,,,7.0,3.75,7.5,6.5,,,,1.57,2.1,,,6.75,,1.53,,,,3.75,7.0,3.75,,,1.49,2.0,2,,1.45,,,,,Tottenham_Sunderland_2008,,,2008-08-23,3.8,6,,,1.9,1.5,,,,,4.0,,,,,,,,1.44,1.84,,4.2,1.5,,3.8,7.5,,,24,,2,,,,-1.0,1.4,,4.2,3.8,6.5,,,,,1.5,,1.53,36,,,42,,,,2.04
12,,3.6,,,,,1.7,1.7,3.51,5.0,,1.27,,,1.7,,,1.75,,,,,,,,,,,,2008,3.4,,,,1.91,,,,1.7,3.56,21,4.3,,,,1.73,3.4,1.73,1.73,,,,5.77,1.93,,,1.7,,5.0,,,,3.3,1.8,3.25,,,5.01,1.82,2,,4.5,,,,,Stoke_Aston Villa_2008,,,2008-08-23,3.4,22,,,4.0,5.0,,,,,3.6,,,,,,,,5.0,2.0,,3.76,5.0,,3.4,1.7,,,23,,2,,,,0.0,4.65,,3.7,3.5,1.73,,,,,5.3,,5.0,36,,,42,,,,1.3
13,,3.8,,,,,1.6,1.57,3.65,6.0,,1.81,,,1.58,,,1.63,,,,,,,,,,,,2008,3.45,,,,1.95,,,,1.55,2.06,31,5.0,,,,1.57,3.5,1.57,1.6,,,,6.8,1.89,,,1.57,,6.0,,,,3.6,1.62,3.6,,,6.09,1.8,2,,5.5,,,,,Fulham_Arsenal_2008,,,2008-08-23,3.5,16,,,2.12,6.5,,,,,3.75,,,,,,,,6.0,2.08,,3.91,6.5,,3.5,1.55,,,24,,2,,,,0.75,6.0,,3.9,3.75,1.57,,,,,6.5,,6.0,37,,,42,,,,1.84
14,,4.5,,,,,6.5,9.5,4.38,1.4,,1.97,,,8.86,,,10.91,,,,,,,,,,,,2008,4.5,,,,1.88,,,,8.5,1.9,25,1.4,,,,10.0,4.33,8.0,8.0,,,,1.4,1.97,,,8.0,,1.4,,,,4.0,9.0,4.2,,,1.37,1.85,2,,1.33,,,,,Liverpool_Middlesbrough_2008,,,2008-08-23,4.5,10,,,1.92,1.36,,,,,4.5,,,,,,,,1.36,2.01,,4.8,1.4,,4.0,7.2,,,24,,2,,,,-1.25,1.35,,4.6,4.5,8.5,,,,,1.4,,1.38,36,,,42,,,,2.03
15,,3.8,,,,,4.8,6.0,3.64,1.57,,4.23,,,6.16,,,7.42,,,,,,,,,,,,2008,3.45,,,,1.98,,,,7.0,1.19,34,1.6,,,,7.0,3.6,6.0,5.5,,,,1.62,1.9,,,5.5,,1.62,,,,3.6,6.0,3.6,,,1.58,1.76,2,,1.57,,,,,Blackburn_Hull_2008,,,2008-08-23,3.5,33,,,1.2,1.57,,,,,3.75,,,,,,,,1.57,2.1,,3.91,1.62,,3.6,6.0,,,24,,2,,,,0.0,1.55,,3.75,3.6,6.0,,,,,1.55,,1.6,37,,,43,,,,4.5
16,,3.4,,,,,4.2,4.5,3.43,1.8,,3.45,,,4.61,,,5.05,,,,,,,,,,,,2008,3.35,,,,2.06,,,,4.8,1.29,23,1.75,,,,4.75,3.3,4.5,4.5,,,,1.87,1.77,,,4.5,,1.8,,,,3.25,4.5,3.5,,,1.78,1.7,2,,1.7,,,,,Newcastle_Bolton_2008,,,2008-08-23,3.4,9,,,1.3,1.8,,,,,3.5,,,,,,,,1.83,2.16,,3.6,1.8,,3.3,4.7,,,24,,2,,,,0.0,1.7,,3.5,3.5,4.75,,,,,1.8,,1.8,37,,,43,,,,3.8
