,idGame,nWeekHome,Date,year,IdHomeTeam,FTG_asH,FT_against_H,FT_RESULT,HTG_asH,HT_against_H,HT_RESULT,Referee,Shoot_asH,Shoot_against_H,ShootTarget_asH,ShootTarget_against_H,Fouls_asH,Fouls_against_H,Corner_asH,Corner_against_H,YellowC_asH,YellowC_against_H,RedC_asH,RedC_againts_H,Shoot_asH_last_3_cumsum,Shoot_asH_last_3_mean,Shoot_asH_last_6_cumsum,Shoot_asH_last_6_mean,Shoot_asH_last_10_cumsum,Shoot_asH_last_10_mean,Shoot_asH_last_infinity_cumsum,Shoot_asH_last_infinity_mean,ShootTarget_asH_last_3_cumsum,ShootTarget_asH_last_3_mean,ShootTarget_asH_last_6_cumsum,ShootTarget_asH_last_6_mean,ShootTarget_asH_last_10_cumsum,ShootTarget_asH_last_10_mean,ShootTarget_asH_last_infinity_cumsum,ShootTarget_asH_last_infinity_mean,Fouls_asH_last_3_cumsum,Fouls_asH_last_3_mean,Fouls_asH_last_6_cumsum,Fouls_asH_last_6_mean,Fouls_asH_last_10_cumsum,Fouls_asH_last_10_mean,Fouls_asH_last_infinity_cumsum,Fouls_asH_last_infinity_mean,Corner_asH_last_3_cumsum,Corner_asH_last_3_mean,Corner_asH_last_6_cumsum,Corner_asH_last_6_mean,Corner_asH_last_10_cumsum,Corner_asH_last_10_mean,Corner_asH_last_infinity_cumsum,Corner_asH_last_infinity_mean,FTG_asH_last_3_cumsum,FTG_asH_last_3_mean,FTG_asH_last_6_cumsum,FTG_asH_last_6_mean,FTG_asH_last_10_cumsum,FTG_asH_last_10_mean,FTG_asH_last_infinity_cumsum,FTG_asH_last_infinity_mean,HTG_asH_last_3_cumsum,HTG_asH_last_3_mean,HTG_asH_last_6_cumsum,HTG_asH_last_6_mean,HTG_asH_last_10_cumsum,HTG_asH_last_10_mean,HTG_asH_last_infinity_cumsum,HTG_asH_last_infinity_mean,YellowC_asH_last_3_cumsum,YellowC_asH_last_3_mean,YellowC_asH_last_6_cumsum,YellowC_asH_last_6_mean,YellowC_asH_last_10_cumsum,YellowC_asH_last_10_mean,YellowC_asH_last_infinity_cumsum,YellowC_asH_last_infinity_mean,RedC_asH_last_3_cumsum,RedC_asH_last_3_mean,RedC_asH_last_6_cumsum,RedC_asH_last_6_mean,RedC_asH_last_10_cumsum,RedC_asH_last_10_mean,RedC_asH_last_infinity_cumsum,RedC_asH_last_infinity_mean,FT_against_H_last_3_cumsum,FT_against_H_last_3_mean,FT_against_H_last_6_cumsum,FT_against_H_last_6_mean,FT_against_H_last_10_cumsum,FT_against_H_last_10_mean,FT_against_H_last_infinity_cumsum,FT_against_H_last_infinity_mean,HT_against_H_last_3_cumsum,HT_against_H_last_3_mean,HT_against_H_last_6_cumsum,HT_against_H_last_6_mean,HT_against_H_last_10_cumsum,HT_against_H_last_10_mean,HT_against_H_last_infinity_cumsum,HT_against_H_last_infinity_mean,Shoot_against_H_last_3_cumsum,Shoot_against_H_last_3_mean,Shoot_against_H_last_6_cumsum,Shoot_against_H_last_6_mean,Shoot_against_H_last_10_cumsum,Shoot_against_H_last_10_mean,Shoot_against_H_last_infinity_cumsum,Shoot_against_H_last_infinity_mean,ShootTarget_against_H_last_3_cumsum,ShootTarget_against_H_last_3_mean,ShootTarget_against_H_last_6_cumsum,ShootTarget_against_H_last_6_mean,ShootTarget_against_H_last_10_cumsum,ShootTarget_against_H_last_10_mean,ShootTarget_against_H_last_infinity_cumsum,ShootTarget_against_H_last_infinity_mean,Fouls_against_H_last_3_cumsum,Fouls_against_H_last_3_mean,Fouls_against_H_last_6_cumsum,Fouls_against_H_last_6_mean,Fouls_against_H_last_10_cumsum,Fouls_against_H_last_10_mean,Fouls_against_H_last_infinity_cumsum,Fouls_against_H_last_infinity_mean,Corner_against_H_last_3_cumsum,Corner_against_H_last_3_mean,Corner_against_H_last_6_cumsum,Corner_against_H_last_6_mean,Corner_against_H_last_10_cumsum,Corner_against_H_last_10_mean,Corner_against_H_last_infinity_cumsum,Corner_against_H_last_infinity_mean,RedC_againts_H_last_3_cumsum,RedC_againts_H_last_3_mean,RedC_againts_H_last_6_cumsum,RedC_againts_H_last_6_mean,RedC_againts_H_last_10_cumsum,RedC_againts_H_last_10_mean,RedC_againts_H_last_infinity_cumsum,RedC_againts_H_last_infinity_mean,YellowC_against_H_last_3_cumsum,YellowC_against_H_last_3_mean,YellowC_against_H_last_6_cumsum,YellowC_against_H_last_6_mean,YellowC_against_H_last_10_cumsum,YellowC_against_H_last_10_mean,YellowC_against_H_last_infinity_cumsum,YellowC_against_H_last_infinity_mean
0,Arsenal_Everton_2003,1,2003-08-16,2003,0,2,1,Winn,1,0,Winn,M Halsey,11,13,5,7,8,15,6,9,1,3,1,1,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
1,Birmingham_Tottenham_2003,1,2003-08-16,2003,2,1,0,Winn,1,0,Winn,R Styles,10,15,5,7,20,27,1,4,3,5,0,0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
2,Fulham_Middlesbrough_2003,1,2003-08-16,2003,15,3,2,Winn,1,1,Draw,G Poll,17,8,9,5,18,16,7,6,1,1,0,0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
3,Blackburn_Wolves_2003,1,2003-08-16,2003,3,5,1,Winn,2,0,Winn,J Winter,25,8,13,5,8,14,6,2,1,1,0,0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
4,Man United_Bolton_2003,1,2003-08-16,2003,22,4,0,Winn,1,0,Winn,P Durkin,13,15,6,5,12,8,8,4,0,4,0,0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
5,Portsmouth_Aston Villa_2003,1,2003-08-16,2003,26,2,1,Winn,1,0,Winn,G Barber,4,9,3,5,18,22,7,9,2,1,0,1,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
6,Leicester_Southampton_2003,1,2003-08-16,2003,19,2,2,Draw,2,0,Winn,M Riley,12,13,7,10,27,15,2,7,3,1,0,0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
7,Charlton_Man City_2003,1,2003-08-17,2003,10,0,3,Lost,0,2,Lost,M Dean,10,14,5,8,12,16,4,7,2,1,1,0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
8,Liverpool_Chelsea_2003,1,2003-08-17,2003,20,1,2,Lost,0,1,Lost,S Bennett,12,10,7,6,13,12,8,6,3,1,0,0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
9,Leeds_Newcastle_2003,1,2003-08-17,2003,18,2,2,Draw,1,1,Draw,R Martin,8,19,3,10,19,16,4,8,4,2,0,0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0,,,,,,,0,0.0
