,idGame,nWeekHome,Date,year,IdHomeTeam,FTG_asH,FT_against_H,FT_RESULT,HTG_asH,HT_against_H,HT_RESULT,Referee,Shoot_asH,Shoot_against_H,ShootTarget_asH,ShootTarget_against_H,Fouls_asH,Fouls_against_H,Corner_asH,Corner_against_H,YellowC_asH,YellowC_against_H,RedC_asH,RedC_againts_H,Shoot_asH_last_3,Shoot_asH_last_6,Shoot_asH_last_10,Shoot_asH_last_infinity,ShootTarget_asH_last_3,ShootTarget_asH_last_6,ShootTarget_asH_last_10,ShootTarget_asH_last_infinity,Fouls_asH_last_3,Fouls_asH_last_6,Fouls_asH_last_10,Fouls_asH_last_infinity,Corner_asH_last_3,Corner_asH_last_6,Corner_asH_last_10,Corner_asH_last_infinity,FTG_asH_last_3,FTG_asH_last_6,FTG_asH_last_10,FTG_asH_last_infinity,HTG_asH_last_3,HTG_asH_last_6,HTG_asH_last_10,HTG_asH_last_infinity,YellowC_asH_last_3,YellowC_asH_last_6,YellowC_asH_last_10,YellowC_asH_last_infinity,RedC_asH_last_3,RedC_asH_last_6,RedC_asH_last_10,RedC_asH_last_infinity,FT_against_H_last_3,FT_against_H_last_6,FT_against_H_last_10,FT_against_H_last_infinity,HT_against_H_last_3,HT_against_H_last_6,HT_against_H_last_10,HT_against_H_last_infinity,Shoot_against_H_last_3,Shoot_against_H_last_6,Shoot_against_H_last_10,Shoot_against_H_last_infinity,ShootTarget_against_H_last_3,ShootTarget_against_H_last_6,ShootTarget_against_H_last_10,ShootTarget_against_H_last_infinity,Fouls_against_H_last_3,Fouls_against_H_last_6,Fouls_against_H_last_10,Fouls_against_H_last_infinity,Corner_against_H_last_3,Corner_against_H_last_6,Corner_against_H_last_10,Corner_against_H_last_infinity,RedC_againts_H_last_3,RedC_againts_H_last_6,RedC_againts_H_last_10,RedC_againts_H_last_infinity,YellowC_against_H_last_3,YellowC_against_H_last_6,YellowC_against_H_last_10,YellowC_against_H_last_infinity
0,Blackburn_Everton_2010,1,2010-08-14,2010,3,1,0,Winn,1,0,Winn,P Dowd,7,17,2,12,19,14,1,3,2,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
1,Bolton_Fulham_2010,1,2010-08-14,2010,5,0,0,Draw,0,0,Draw,S Attwell,13,12,9,7,12,13,4,8,1,3,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
2,Wolves_Stoke_2010,1,2010-08-14,2010,39,2,1,Winn,2,0,Winn,L Probert,13,10,7,6,17,13,5,5,0,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
3,Chelsea_West Brom_2010,1,2010-08-14,2010,11,6,0,Winn,2,0,Winn,M Clattenburg,18,10,13,4,10,10,3,1,1,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
4,Aston Villa_West Ham_2010,1,2010-08-14,2010,1,3,0,Winn,2,0,Winn,M Dean,23,12,11,2,15,15,16,7,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
5,Wigan_Blackpool_2010,1,2010-08-14,2010,38,0,4,Lost,0,3,Lost,M Halsey,11,9,6,7,8,11,6,4,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
6,Tottenham_Man City_2010,1,2010-08-14,2010,34,0,0,Draw,0,0,Draw,A Marriner,22,11,18,7,13,16,10,3,0,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
7,Sunderland_Birmingham_2010,1,2010-08-14,2010,32,2,2,Draw,1,0,Winn,A Taylor,6,13,2,7,13,10,3,6,3,3,1,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
8,Liverpool_Arsenal_2010,1,2010-08-15,2010,20,1,1,Draw,0,0,Draw,M Atkinson,7,14,4,7,13,15,9,11,1,3,1,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
9,Man United_Newcastle_2010,1,2010-08-16,2010,22,3,0,Winn,2,0,Winn,C Foy,18,7,10,3,9,5,5,3,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
10,West Brom_Sunderland_2010,1,2010-08-21,2010,36,1,0,Winn,0,0,Draw,K Friend,11,10,5,4,16,12,4,6,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
11,Birmingham_Blackburn_2010,1,2010-08-21,2010,2,2,1,Winn,0,0,Draw,M Oliver,10,7,7,2,13,14,4,12,2,3,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
12,Arsenal_Blackpool_2010,1,2010-08-21,2010,0,6,0,Winn,3,0,Winn,M Jones,26,3,16,1,9,3,8,2,0,0,0,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
13,Everton_Wolves_2010,1,2010-08-21,2010,14,1,1,Draw,1,0,Winn,L Mason,14,9,6,4,18,15,3,3,1,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
14,Wigan_Chelsea_2010,2,2010-08-21,2010,38,0,6,Lost,0,1,Lost,M Dean,17,10,12,8,12,7,0,0,1,2,0,0,,,,11,,,,6,,,,8,,,,6,,,,0,,,,0,,,,1,,,,0,,,,4,,,,3,,,,9,,,,7,,,,11,,,,4,,,,0,,,,1
15,West Ham_Bolton_2010,1,2010-08-21,2010,37,1,3,Lost,0,0,Draw,A Marriner,17,12,10,8,11,18,8,5,2,4,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
16,Stoke_Tottenham_2010,1,2010-08-21,2010,31,1,2,Lost,1,2,Lost,C Foy,15,7,10,6,15,4,6,2,3,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
17,Fulham_Man United_2010,1,2010-08-22,2010,15,2,2,Draw,0,1,Lost,P Walton,16,14,8,7,7,6,5,11,2,2,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
18,Newcastle_Aston Villa_2010,1,2010-08-22,2010,24,6,0,Winn,3,0,Winn,M Atkinson,20,3,14,1,15,12,10,2,3,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
19,Man City_Liverpool_2010,1,2010-08-23,2010,21,3,0,Winn,1,0,Winn,P Dowd,8,13,3,7,13,12,5,4,1,1,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
20,Wolves_Newcastle_2010,2,2010-08-28,2010,39,1,1,Draw,1,0,Winn,S Attwell,5,11,2,6,20,17,5,3,7,4,0,0,,,,13,,,,7,,,,17,,,,5,,,,2,,,,2,,,,0,,,,0,,,,1,,,,0,,,,10,,,,6,,,,13,,,,5,,,,0,,,,2
21,Man United_West Ham_2010,2,2010-08-28,2010,22,3,0,Winn,1,0,Winn,M Clattenburg,18,7,11,2,6,11,9,3,1,2,0,0,,,,18,,,,10,,,,9,,,,5,,,,3,,,,2,,,,2,,,,0,,,,0,,,,0,,,,7,,,,3,,,,5,,,,3,,,,0,,,,2
22,Chelsea_Stoke_2010,2,2010-08-28,2010,11,2,0,Winn,1,0,Winn,M Atkinson,15,9,6,3,5,10,6,1,0,2,0,0,,,,18,,,,13,,,,10,,,,3,,,,6,,,,2,,,,1,,,,0,,,,0,,,,0,,,,10,,,,4,,,,10,,,,1,,,,0,,,,0
