,idGame,nWeek,Date,year,IdTeam,FT_against_A,FTG_asA,FT_RESULT,HT_against_A,HTG_asA,HT_RESULT,Referee,Shoot_against_A,Shoot_asA,ShootTarget_against_A,ShootTarget_asA,Fouls_against_A,Fouls_asA,Corner_against_A,Corner_asA,YellowC_against_A,YellowC_asA,RedC_againts_A,RedC_asA,nWeekAway,Shoot_asA_last_3,Shoot_asA_last_6,Shoot_asA_last_10,Shoot_asA_last_infinity,ShootTarget_asA_last_3,ShootTarget_asA_last_6,ShootTarget_asA_last_10,ShootTarget_asA_last_infinity,Fouls_asA_last_3,Fouls_asA_last_6,Fouls_asA_last_10,Fouls_asA_last_infinity,Corner_asA_last_3,Corner_asA_last_6,Corner_asA_last_10,Corner_asA_last_infinity,FTG_asA_last_3,FTG_asA_last_6,FTG_asA_last_10,FTG_asA_last_infinity,HTG_asA_last_3,HTG_asA_last_6,HTG_asA_last_10,HTG_asA_last_infinity,YellowC_asA_last_3,YellowC_asA_last_6,YellowC_asA_last_10,YellowC_asA_last_infinity,RedC_asA_last_3,RedC_asA_last_6,RedC_asA_last_10,RedC_asA_last_infinity,FT_against_A_last_3,FT_against_A_last_6,FT_against_A_last_10,FT_against_A_last_infinity,HT_against_A_last_3,HT_against_A_last_6,HT_against_A_last_10,HT_against_A_last_infinity,Shoot_against_A_last_3,Shoot_against_A_last_6,Shoot_against_A_last_10,Shoot_against_A_last_infinity,ShootTarget_against_A_last_3,ShootTarget_against_A_last_6,ShootTarget_against_A_last_10,ShootTarget_against_A_last_infinity,Fouls_against_A_last_3,Fouls_against_A_last_6,Fouls_against_A_last_10,Fouls_against_A_last_infinity,Corner_against_A_last_3,Corner_against_A_last_6,Corner_against_A_last_10,Corner_against_A_last_infinity,RedC_againts_A_last_3,RedC_againts_A_last_6,RedC_againts_A_last_10,RedC_againts_A_last_infinity,YellowC_against_A_last_3,YellowC_against_A_last_6,YellowC_against_A_last_10,YellowC_against_A_last_infinity,Shoot_asA_last_3_strength,Shoot_asA_last_3_mean,Shoot_asA_last_6_strength,Shoot_asA_last_6_mean,Shoot_asA_last_10_strength,Shoot_asA_last_10_mean,Shoot_asA_last_infinity_strength,Shoot_asA_last_infinity_mean,ShootTarget_asA_last_3_strength,ShootTarget_asA_last_3_mean,ShootTarget_asA_last_6_strength,ShootTarget_asA_last_6_mean,ShootTarget_asA_last_10_strength,ShootTarget_asA_last_10_mean,ShootTarget_asA_last_infinity_strength,ShootTarget_asA_last_infinity_mean,Fouls_asA_last_3_strength,Fouls_asA_last_3_mean,Fouls_asA_last_6_strength,Fouls_asA_last_6_mean,Fouls_asA_last_10_strength,Fouls_asA_last_10_mean,Fouls_asA_last_infinity_strength,Fouls_asA_last_infinity_mean,Corner_asA_last_3_strength,Corner_asA_last_3_mean,Corner_asA_last_6_strength,Corner_asA_last_6_mean,Corner_asA_last_10_strength,Corner_asA_last_10_mean,Corner_asA_last_infinity_strength,Corner_asA_last_infinity_mean,FTG_asA_last_3_strength,FTG_asA_last_3_mean,FTG_asA_last_6_strength,FTG_asA_last_6_mean,FTG_asA_last_10_strength,FTG_asA_last_10_mean,FTG_asA_last_infinity_strength,FTG_asA_last_infinity_mean,HTG_asA_last_3_strength,HTG_asA_last_3_mean,HTG_asA_last_6_strength,HTG_asA_last_6_mean,HTG_asA_last_10_strength,HTG_asA_last_10_mean,HTG_asA_last_infinity_strength,HTG_asA_last_infinity_mean,YellowC_asA_last_3_strength,YellowC_asA_last_3_mean,YellowC_asA_last_6_strength,YellowC_asA_last_6_mean,YellowC_asA_last_10_strength,YellowC_asA_last_10_mean,YellowC_asA_last_infinity_strength,YellowC_asA_last_infinity_mean,RedC_asA_last_3_strength,RedC_asA_last_3_mean,RedC_asA_last_6_strength,RedC_asA_last_6_mean,RedC_asA_last_10_strength,RedC_asA_last_10_mean,RedC_asA_last_infinity_strength,RedC_asA_last_infinity_mean,FT_against_A_last_3_strength,FT_against_A_last_3_mean,FT_against_A_last_6_strength,FT_against_A_last_6_mean,FT_against_A_last_10_strength,FT_against_A_last_10_mean,FT_against_A_last_infinity_strength,FT_against_A_last_infinity_mean,HT_against_A_last_3_strength,HT_against_A_last_3_mean,HT_against_A_last_6_strength,HT_against_A_last_6_mean,HT_against_A_last_10_strength,HT_against_A_last_10_mean,HT_against_A_last_infinity_strength,HT_against_A_last_infinity_mean,Shoot_against_A_last_3_strength,Shoot_against_A_last_3_mean,Shoot_against_A_last_6_strength,Shoot_against_A_last_6_mean,Shoot_against_A_last_10_strength,Shoot_against_A_last_10_mean,Shoot_against_A_last_infinity_strength,Shoot_against_A_last_infinity_mean,ShootTarget_against_A_last_3_strength,ShootTarget_against_A_last_3_mean,ShootTarget_against_A_last_6_strength,ShootTarget_against_A_last_6_mean,ShootTarget_against_A_last_10_strength,ShootTarget_against_A_last_10_mean,ShootTarget_against_A_last_infinity_strength,ShootTarget_against_A_last_infinity_mean,Fouls_against_A_last_3_strength,Fouls_against_A_last_3_mean,Fouls_against_A_last_6_strength,Fouls_against_A_last_6_mean,Fouls_against_A_last_10_strength,Fouls_against_A_last_10_mean,Fouls_against_A_last_infinity_strength,Fouls_against_A_last_infinity_mean,Corner_against_A_last_3_strength,Corner_against_A_last_3_mean,Corner_against_A_last_6_strength,Corner_against_A_last_6_mean,Corner_against_A_last_10_strength,Corner_against_A_last_10_mean,Corner_against_A_last_infinity_strength,Corner_against_A_last_infinity_mean,RedC_againts_A_last_3_strength,RedC_againts_A_last_3_mean,RedC_againts_A_last_6_strength,RedC_againts_A_last_6_mean,RedC_againts_A_last_10_strength,RedC_againts_A_last_10_mean,RedC_againts_A_last_infinity_strength,RedC_againts_A_last_infinity_mean,YellowC_against_A_last_3_strength,YellowC_against_A_last_3_mean,YellowC_against_A_last_6_strength,YellowC_against_A_last_6_mean,YellowC_against_A_last_10_strength,YellowC_against_A_last_10_mean,YellowC_against_A_last_infinity_strength,YellowC_against_A_last_infinity_mean
0,Middlesbrough_Newcastle_2004,1,2004-08-14,2004,9,2,2,Draw,0,1,Winn,S Bennett,15,11,8,4,16,13,6,7,3,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Man City_Fulham_2004,1,2004-08-14,2004,16,1,1,Draw,1,0,Lost,M Messias,12,4,5,2,14,12,9,4,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Portsmouth_Birmingham_2004,1,2004-08-14,2004,19,1,1,Draw,1,1,Draw,H Webb,14,16,8,11,13,16,8,4,2,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aston Villa_Southampton_2004,1,2004-08-14,2004,12,2,0,Lost,2,0,Lost,U Rennie,14,6,5,2,14,9,12,6,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tottenham_Liverpool_2004,1,2004-08-14,2004,10,1,1,Draw,0,1,Winn,D Gallagher,14,16,7,8,17,11,3,8,3,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Norwich_Crystal Palace_2004,1,2004-08-14,2004,24,1,1,Draw,1,0,Lost,P Walton,14,14,10,8,14,16,6,11,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bolton_Charlton_2004,1,2004-08-14,2004,29,4,1,Lost,2,0,Lost,P Dowd,21,9,11,5,10,12,9,5,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Blackburn_West Brom_2004,1,2004-08-14,2004,7,1,1,Draw,0,1,Winn,C Foy,12,4,4,2,15,17,4,5,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chelsea_Man United_2004,1,2004-08-15,2004,13,1,0,Lost,1,0,Lost,G Poll,8,11,5,3,17,8,2,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Everton_Arsenal_2004,1,2004-08-15,2004,31,1,4,Winn,0,2,Winn,M Riley,9,18,5,14,14,19,0,7,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Southampton_Blackburn_2004,2,2004-08-21,2004,33,3,2,Lost,1,0,Lost,A D'Urso,13,10,7,6,12,18,3,6,0,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
