,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5
0,Fulham_Aston Villa_2011,2011-08-13,L Mason,16,21,1,1,2011,0,0,,,,,,,,,,,,,46.759,1.243,30.823,0.471,29.508,1.804,,,,
1,Wigan_Norwich_2011,2011-08-13,S Attwell,20,14,1,1,2011,1,1,,,,,,,,,,,,,48.063,2.355,30.46,0.78,28.472,1.419,,,,
2,Liverpool_Sunderland_2011,2011-08-13,P Dowd,10,38,1,1,2011,1,1,,,,,,,,,,,,,67.124,2.747,26.045,1.035,13.919,0.699,,,,
3,Newcastle_Arsenal_2011,2011-08-13,P Walton,9,31,1,1,2011,0,0,,,,,,,,,,,,,26.849,1.094,30.192,0.925,49.907,1.775,,,,
4,QPR_Bolton_2011,2011-08-13,M Atkinson,32,23,1,1,2011,0,4,,,,,,,,,,,,,42.92,0.981,31.016,0.529,33.028,1.717,,,,
5,Blackburn_Wolves_2011,2011-08-13,K Friend,33,4,1,1,2011,1,2,,,,,,,,,,,,,48.382,1.957,30.378,0.997,28.321,1.012,,,,
6,Stoke_Chelsea_2011,2011-08-14,M Halsey,22,30,1,1,2011,0,0,,,,,,,,,,,,,18.5,0.839,27.923,0.955,60.738,1.992,,,,
7,West Brom_Man United_2011,2011-08-14,M Jones,7,13,1,1,2011,1,2,,,,,,,,,,,,,15.387,1.346,25.263,1.093,66.484,1.718,,,,
8,Man City_Swansea_2011,2011-08-15,M Dean,3,0,1,1,2011,4,0,,,,,,,,,,,,,80.308,2.128,18.715,1.672,8.319,0.745,,,,
9,Sunderland_Newcastle_2011,2011-08-20,H Webb,38,9,2,2,2011,0,1,,,,,,,,,,,,,46.997,1.602,30.651,0.889,29.032,1.678,,,,
10,Arsenal_Liverpool_2011,2011-08-20,M Atkinson,31,10,2,2,2011,0,2,,,,,,,,,,,,,40.461,1.606,31.442,0.721,35.005,1.243,,,,
11,Swansea_Wigan_2011,2011-08-20,P Dowd,0,20,2,2,2011,0,0,,,,,,,,,,,,,46.864,1.162,30.772,0.316,29.345,1.88,,,,
12,Everton_QPR_2011,2011-08-20,K Friend,8,32,1,2,2011,0,1,,,,,,,,,,,,,65.929,0.817,25.959,0.726,15.143,1.667,,,,
13,Aston Villa_Blackburn_2011,2011-08-20,S Attwell,21,33,2,2,2011,3,1,,,,,,,,,,,,,58.502,1.218,28.844,0.929,19.756,1.573,,,,
14,Chelsea_West Brom_2011,2011-08-20,L Mason,30,7,2,2,2011,2,1,,,,,,,,,,,,,77.912,1.626,19.461,1.161,9.783,0.898,,,,
15,Wolves_Fulham_2011,2011-08-21,M Dean,4,16,2,2,2011,2,0,,,,,,,,,,,,,43.242,1.132,30.868,0.374,32.807,1.659,,,,
16,Bolton_Man City_2011,2011-08-21,M Jones,23,3,2,2,2011,2,3,,,,,,,,,,,,,21.627,1.243,28.67,0.735,56.553,1.236,,,,
17,Norwich_Stoke_2011,2011-08-21,N Swarbrick,14,22,2,2,2011,1,1,,,,,,,,,,,,,39.931,1.374,30.728,0.471,36.056,1.162,,,,
18,Man United_Tottenham_2011,2011-08-22,L Probert,13,6,2,1,2011,3,0,,,,,,,,,,,,,61.71,2.03,26.664,0.99,18.434,1.344,,,,
19,Aston Villa_Wolves_2011,2011-08-27,M Atkinson,21,4,3,3,2011,0,0,,,,,,,,,,59.421,8.208,8.248,50.041,1.908,30.317,0.679,26.568,1.569,,,,
20,Wigan_QPR_2011,2011-08-27,M Oliver,20,32,3,3,2011,2,0,,,,,,,,,,0.0,36.759,63.233,43.634,1.046,30.916,0.391,32.661,1.54,,,,
21,Blackburn_Everton_2011,2011-08-27,L Mason,33,8,3,2,2011,0,1,,,,,,,,,,,,,33.294,2.226,30.731,0.552,42.836,1.148,,,,
22,Swansea_Sunderland_2011,2011-08-27,M Halsey,0,38,3,3,2011,0,0,,,,,,,,,,0.0,100.0,0.0,42.237,1.081,30.971,0.614,34.071,1.137,,,,
23,Liverpool_Bolton_2011,2011-08-27,L Probert,10,23,3,3,2011,3,1,,,,,,,,,,0.0,1.832,87.104,71.406,1.502,23.15,1.148,12.417,0.751,,,,
24,Chelsea_Norwich_2011,2011-08-27,M Jones,30,14,3,3,2011,3,1,,,,,,,,,,76.179,11.011,7.484,82.928,0.932,16.858,0.975,7.444,0.836,,,,
25,Man United_Arsenal_2011,2011-08-28,H Webb,13,31,3,3,2011,8,2,,,,,,,,,,0.0,100.0,0.0,67.535,2.102,24.674,1.575,14.91,1.534,,,,
26,Tottenham_Man City_2011,2011-08-28,P Dowd,6,3,2,3,2011,1,5,,,,,,,,,,,,,35.865,2.033,30.326,0.888,40.582,0.79,,,,
27,Newcastle_Fulham_2011,2011-08-28,K Friend,9,16,3,3,2011,2,1,,,,,,,,,,0.0,100.0,0.0,47.99,1.237,30.59,0.541,28.506,1.784,,,,
28,West Brom_Stoke_2011,2011-08-28,M Dean,7,22,3,3,2011,0,1,,,,,,,,,,17.887,19.389,61.873,48.244,1.656,30.968,0.527,28.034,2.199,,,,
29,Bolton_Man United_2011,2011-09-10,A Marriner,23,13,4,4,2011,0,5,,,,,,,,,,3.606,4.326,46.122,12.851,1.253,23.0,1.171,71.043,1.28,,,,
30,Arsenal_Swansea_2011,2011-09-10,S Attwell,31,0,4,4,2011,1,0,,,,,,,,,,0.0,100.0,0.0,74.136,0.758,21.492,1.053,11.433,1.019,,,,
31,Everton_Aston Villa_2011,2011-09-10,M Oliver,8,21,3,4,2011,2,2,,,,,,,,,,0.0,100.0,0.0,49.305,1.566,30.495,0.493,27.118,1.286,,,,
32,Stoke_Liverpool_2011,2011-09-10,M Clattenburg,22,10,4,4,2011,1,0,,,,,,,,,,0.0,100.0,0.0,30.104,0.982,30.82,0.35,45.599,1.451,,,,
33,Man City_Wigan_2011,2011-09-10,M Atkinson,3,20,4,4,2011,3,0,,,,,,,,,,0.0,100.0,0.0,85.276,1.518,15.216,1.582,6.469,1.208,,,,
34,Wolves_Tottenham_2011,2011-09-10,P Walton,4,6,4,3,2011,0,2,,,,,,,,,,60.382,0.248,0.0,35.055,1.583,30.542,0.495,41.252,0.821,,,,
35,Sunderland_Chelsea_2011,2011-09-10,L Probert,38,30,4,4,2011,1,2,,,,,,,,,,0.0,100.0,0.0,19.816,1.27,27.714,0.64,59.555,1.447,,,,
36,Fulham_Blackburn_2011,2011-09-11,H Webb,16,33,4,4,2011,1,1,,,,,,,,,,0.0,100.0,0.0,59.125,1.234,28.732,1.078,19.004,1.88,,,,
37,Norwich_West Brom_2011,2011-09-11,M Halsey,14,7,4,4,2011,0,1,,,,,,,,,,50.96,23.877,24.95,40.378,1.007,30.549,0.693,35.992,1.161,,,,
38,QPR_Newcastle_2011,2011-09-12,P Dowd,32,9,4,4,2011,0,0,,,,,,,,,,0.0,2.234,88.664,41.499,1.029,30.677,0.298,34.575,2.506,,,,
39,Swansea_West Brom_2011,2011-09-17,M Atkinson,0,7,5,5,2011,3,0,,,,,,,,,,0.0,100.0,0.0,38.549,1.547,31.286,1.167,36.634,1.351,,,,
40,Everton_Wigan_2011,2011-09-17,P Walton,8,20,4,5,2011,3,1,,,,,,,,,,64.504,35.486,0.0,65.215,1.357,26.675,1.133,15.151,2.07,,,,
41,Aston Villa_Newcastle_2011,2011-09-17,N Swarbrick,21,9,5,5,2011,1,1,,,,,,,,,,0.0,80.165,19.835,51.382,1.094,30.11,1.092,25.435,2.062,,,,
42,Bolton_Norwich_2011,2011-09-17,H Webb,23,14,5,5,2011,1,2,,,,,,,,,,10.632,11.926,70.576,57.252,1.658,28.669,1.395,21.041,1.465,,,,
43,Wolves_QPR_2011,2011-09-17,A Taylor,4,32,5,5,2011,0,3,,,,,,,,,,36.615,42.817,20.567,52.536,0.937,29.313,1.003,25.052,1.411,,,,
44,Blackburn_Arsenal_2011,2011-09-17,A Marriner,33,31,5,5,2011,4,3,,,,,,,,,,38.341,25.759,35.796,23.658,1.147,29.385,0.726,53.91,1.359,,,,
45,Fulham_Man City_2011,2011-09-18,M Clattenburg,16,3,5,5,2011,2,2,,,,,,,,,,13.625,27.376,58.935,16.507,1.28,26.445,0.853,64.079,1.124,,,,
46,Man United_Chelsea_2011,2011-09-18,P Dowd,13,30,5,5,2011,3,1,,,,,,,,,,65.452,21.156,13.049,55.306,1.307,28.563,1.016,22.928,1.082,,,,
47,Sunderland_Stoke_2011,2011-09-18,K Friend,38,22,5,5,2011,4,0,,,,,,,,,,6.024,34.941,59.024,41.988,0.552,31.161,0.555,33.612,2.067,,,,
48,Tottenham_Liverpool_2011,2011-09-18,M Jones,6,10,4,5,2011,4,0,,,,,,,,,,1.479,5.575,86.347,38.505,1.384,30.668,1.187,37.464,1.019,,,,
49,Liverpool_Wolves_2011,2011-09-24,K Friend,10,4,6,6,2011,2,1,,,,,,,,,,34.873,35.607,29.516,72.965,1.43,22.39,1.357,11.333,1.282,,,,
50,Arsenal_Bolton_2011,2011-09-24,M Clattenburg,31,23,6,6,2011,3,0,,,,,,,,,,11.827,21.319,66.553,69.745,0.908,23.524,1.28,13.499,1.074,,,,
51,West Brom_Fulham_2011,2011-09-24,S Attwell,7,16,6,6,2011,0,0,,,,,,,,,,39.406,37.897,22.694,43.587,0.814,30.87,0.435,32.555,1.787,,,,
52,Newcastle_Blackburn_2011,2011-09-24,M Atkinson,9,33,6,6,2011,3,1,,,,,,,,,,69.695,22.426,7.712,53.763,1.307,29.405,1.096,23.589,1.762,,,,
53,Stoke_Man United_2011,2011-09-24,P Walton,22,13,6,6,2011,1,1,,,,,,,,,,18.813,81.187,0.0,15.899,1.188,25.465,0.755,65.628,0.904,,,,
54,Wigan_Tottenham_2011,2011-09-24,J Moss,20,6,6,5,2011,1,2,,,,,,,,,,73.876,19.329,6.475,26.138,1.875,29.602,0.721,51.382,1.094,,,,
55,Chelsea_Swansea_2011,2011-09-24,M Dean,30,0,6,6,2011,4,1,,,,,,,,,,72.57,0.547,0.0,83.765,1.112,16.076,1.257,6.899,0.981,,,,
56,Man City_Everton_2011,2011-09-24,H Webb,3,8,6,5,2011,2,0,,,,,,,,,,0.0,100.0,0.0,70.911,1.777,23.349,1.241,12.832,0.86,,,,
57,QPR_Aston Villa_2011,2011-09-25,M Oliver,32,21,6,6,2011,1,1,,,,,,,,,,0.0,20.192,79.674,43.021,1.186,30.921,0.566,32.704,2.231,,,,
58,Norwich_Sunderland_2011,2011-09-26,C Foy,14,38,6,6,2011,2,1,,,,,,,,,,12.862,59.205,27.933,40.359,1.272,30.692,0.77,35.592,1.3,,,,
59,Everton_Liverpool_2011,2011-10-01,M Atkinson,8,10,6,7,2011,0,2,64.774,21.6,13.32,,,,,,,68.843,19.228,11.39,34.04,1.533,31.058,0.248,40.997,0.767,,,,
60,Wolves_Newcastle_2011,2011-10-01,M Halsey,4,9,7,7,2011,1,2,6.079,40.771,53.147,,,,,,,6.748,40.74,52.508,41.233,0.772,30.822,0.415,34.316,1.331,,,,
