,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
70,Aston Villa_Stoke_2015,2015-10-03,M Jones,21,22,8,8,2015,0,1,30.309,31.345,38.331,,,,,,,32.126,30.66,37.196,40.238,0.63,30.453,0.426,33.491,1.587,,,,,-9.929,0.892,4.84,,,,,,,-8.112,0.207,3.705
71,Norwich_Leicester_2015,2015-10-03,M Clattenburg,14,27,8,8,2015,1,2,31.492,20.425,47.125,,,,,,,33.644,20.162,45.075,43.864,0.486,29.326,1.617,31.437,1.533,,,,,-12.372,-8.901,15.688,,,,,,,-10.22,-9.164,13.638
72,Crystal Palace_West Brom_2015,2015-10-03,J Moss,24,7,8,8,2015,2,0,0.0,49.709,50.29,,,,,,,0.0,49.291,50.708,54.609,0.681,28.937,1.601,21.053,1.465,,,,,-54.609,20.772,29.237,,,,,,,-54.609,20.354,29.655
73,Bournemouth_Watford_2015,2015-10-03,M Oliver,17,39,8,8,2015,1,1,51.8,28.512,19.64,,,,,,,54.342,27.108,18.478,47.207,0.534,29.887,1.789,27.547,1.469,,,,,4.593,-1.375,-7.907,,,,,,,7.135,-2.779,-9.069
74,Man City_Newcastle_2015,2015-10-03,K Friend,3,9,8,8,2015,6,1,87.376,12.009,0.0,,,,,,,88.863,10.245,0.0,80.373,0.743,15.614,1.454,7.913,0.998,,,,,7.003,-3.605,-7.913,,,,,,,8.49,-5.369,-7.913
75,Chelsea_Southampton_2015,2015-10-03,R Madley,30,12,8,8,2015,1,3,37.909,35.203,26.883,,,,,,,40.005,34.065,25.923,55.372,1.559,27.68,1.654,21.3,0.659,,,,,-17.463,7.523,5.583,,,,,,,-15.367,6.385,4.623
76,Sunderland_West Ham_2015,2015-10-03,N Swarbrick,38,5,8,8,2015,2,2,0.981,6.394,88.999,,,,,,,1.032,6.315,88.828,32.661,1.289,29.609,0.901,42.161,0.935,,,,,-31.68,-23.215,46.838,,,,,,,-31.629,-23.294,46.667
77,Swansea_Tottenham_2015,2015-10-04,M Dean,0,6,8,8,2015,2,2,45.902,45.585,8.512,,,,,,,45.902,45.585,8.512,37.367,0.771,30.676,0.71,36.605,1.19,,,,,8.535,14.909,-28.093,,,,,,,8.535,14.909,-28.093
78,Everton_Liverpool_2015,2015-10-04,M Atkinson,8,10,8,8,2015,1,1,47.289,27.493,25.157,,,,,,,47.289,27.493,25.157,37.048,0.699,31.007,2.256,36.116,1.209,,,,,10.241,-3.514,-10.959,,,,,,,10.241,-3.514,-10.959
79,Arsenal_Man United_2015,2015-10-04,A Taylor,31,13,8,8,2015,3,0,27.493,34.415,38.086,,,,,,,27.493,34.415,38.086,49.287,1.214,28.094,1.412,26.976,1.478,,,,,-21.794,6.321,11.11,,,,,,,-21.794,6.321,11.11
