NameTeam,IdTeam
Arsenal,31
Aston Villa,21
Birmingham,19
Blackburn,33
Blackpool,35
Bolton,23
Bournemouth,17
Brighton,18
Burnley,11
Cardiff,1
Charlton,29
Chelsea,30
Crystal Palace,24
Derby,37
Everton,8
Fulham,16
Huddersfield,26
Hull,34
Leeds,2
Leicester,27
Liverpool,10
Man City,3
Man United,13
Middlesbrough,25
Newcastle,9
Norwich,14
Portsmouth,28
QPR,32
Reading,36
Sheffield United,15
Southampton,12
Stoke,22
Sunderland,38
Swansea,0
Tottenham,6
Watford,39
West Brom,7
West Ham,5
Wigan,20
Wolves,4
